DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE
LEVETIRACETAM,KEPPRA,SOLIDO,GLAXOSMITHKLINE
LINEZOLID,ZYVOXID,LIQUIDO/SOLIDO,PFIZER
MEROPENEM,MEROBAC,LIQUIDO/SOLIDO,PROCAPS
MEROPENEM,MERONEM,LIQUIDO/SOLIDO,PFIZER
METILPREDNISOLONA,DEPO-MEDROL,LIQUIDO/SOLIDO,PFIZER
MICOFENOLICO,MYFORTIC,SOLIDO,NOVARTIS
MICOFENOLICO,CELLCEPT,SOLIDO,ROCHE
OCTREOTIDO,SANDOSTATIN,LIQUIDO/SOLIDO,NOVARTIS
PRAMIPEXOLA,MIRAPEX,SOLIDO,BOEHRINGER
PREGABALINA,LYRICA,SOLIDO,PFIZER
QUETIAPINA,SEROQUEL,SOLIDO,ASTRAZENECA
QUETIAPINA,KETIAN,SOLIDO,PROCAPS
QUETIAPINA,DRUGTECH,SOLIDO,SYNTHESIS
QUETIAPINA,QUETIAPINA,SOLIDO,TECNOQUIMICAS
RIVASTIGMINA,EXELON,SOLIDO,NOVARTIS
TIROFIBAN,AGRASTAT,LIQUIDO/SOLIDO,ASPEN
TIROTROPINA,THYROGEN,LIQUIDO/SOLIDO,GENZYME
TRABECTEDIN,YONDELIS,LIQUIDO/SOLIDO,JANSSEN
USTEKINUMAB,STELARA,LIQUIDO/SOLIDO,JANSSEN
DULAGLUTIDA,TRULICITY,LIQUIDO/SOLIDO,ELI LILLY
DARBEPOETINA,ARANESP,LIQUIDO/SOLIDO,AMGEN
RIOCIGUAT,ADEMPAS,SOLIDO,BAYER
CINACALCET,MIMPARA,SOLIDO,AMGEN
BRENTUXIMAB,ADCETRIS,LIQUIDO/SOLIDO,TAKEDA
AFATINIB,GIOTRIF,SOLIDO,BOEHRINGER
VEMURAFENIB,ZELBORAF,SOLIDO,ROCHE
AXITINIB,INLYTA,SOLIDO,PFIZER
RUXOLITINIB,JAKAVI,SOLIDO,NOVARTIS
DEGARELIX,FIRMAGON,LIQUIDO/SOLIDO,FERRING
PLERIXAFOR,MOZOBIL,LIQUIDO/SOLIDO,GENZYME
TERIFLUNOMIDA,AUBAGIO,SOLIDO,GENZYME
VEDOLIZUMAB,ENTYVIO,LIQUIDO/SOLIDO,TAKEDA
FAMPRIDINA,FAMPYRA,SOLIDO,BIOGEN
RASBURICASA,FASTURTEC,LIQUIDO/SOLIDO,SANOFI AVENTIS
TAPENTADOL,PALEXIS,SOLIDO,GRUNENTHAL
DAPAGLIFLOZINA,FORXIGA,SOLIDO,ASTRAZENECA
MACITENTAN,OPSUMIT,SOLIDO,ACTELION
VORTIOXETINA,BRINTELLIX,SOLIDO,LUNDBECK
EMPAGLIFLOZINA,JARDIANCE,SOLIDO,BOEHRINGER
BETAINA,CYSTADANE,SOLIDO,ORPHAN EUROPE
AFLIBERCEPT,EYLIA,LIQUIDO/SOLIDO,BAYER
ALEMTUZUMAB,LEMTRADA,LIQUIDO/SOLIDO,GENZYME
AZACITIDINA,VIDAZA,LIQUIDO/SOLIDO,CELGENE
AZACITIDINA,MIELOZITIDINA,LIQUIDO/SOLIDO,LKM
AZACITIDINA,WINDUZA,LIQUIDO/SOLIDO,DR REDDYS
CABAZITAXEL,JEVTANA,LIQUIDO/SOLIDO,SANOFI AVENTIS
DARIFENACINA,ENABLEX,SOLIDO,ASPEN
ELTROMBOPAG,REVOLADE,SOLIDO,NOVARTIS
IPILIMUMAB,YERVOY,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB
IRINOTECAN,CAMPTOSAR,LIQUIDO/SOLIDO,PFIZER
MESALAZINA,SALOFALK,LIQUIDO,DR FALK PHARMA
MESALAZINA,SALOFALK,SOLIDO,DR FALK PHARMA
MESALAZINA,PENTASA,SOLIDO,FERRING
MESALAZINA,MESAX,SOLIDO,LABINCO
METOXIPOLIETILENGLICOL,MIRCERA,LIQUIDO/SOLIDO,ROCHE
MIGLUSTATO,ZAVESCA,SOLIDO,ACTELION
RASAGILINA,RAGITAR,SOLIDO,ALKEM
NIVOLUMAB,OPDIVO,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB
PANITUMUMAB,VECTIBIX,LIQUIDO/SOLIDO,AMGEN
LAMOTRIGINA,LAMICTAL,SOLIDO,GLAXOSMITHKLINE
CLOPIDOGREL,PLAVIX,SOLIDO,SANOFI AVENTIS
SIROLIMUS,RAPAMUNE,SOLIDO,PFIZER
TOPIRAMATO,TOPAMAC,SOLIDO,JANSSEN
CILOSTAZOL,CILOSTAL,SOLIDO,MERCK
TRIMETAZIDINA,VASTAREL MR,SOLIDO,LES LABORATOIRES SERVIER
IVABRADINE,PROCORALAN,SOLIDO,LES LABORATOIRES SERVIER
CANDESARTAN,ATACAND,SOLIDO,ASTRAZENECA
CANDESARTAN,CANDEPREX,SOLIDO,SCANDINAVIA PHARMA
CANDESARTAN,MINART,SOLIDO,MERCK
TRETINOIN,VESANOID,SOLIDO,CHEPLAPHARM
CIPROFIBRATO,HIPERLIPEN,SOLIDO,SANOFI AVENTIS
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,LA SANTE
CIPROFIBRATO,GIABRI,SOLIDO,MERCK
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,GENFAR
CABERGOLINA,ALACTIN,SOLIDO,PROCAPS
CABERGOLINA,CABERTRIX,SOLIDO,MONTE VERDE
CABERGOLINA,DOSTINEX,SOLIDO,PFIZER
ALFUZOSINA,XATRAL OD,SOLIDO,SANOFI AVENTIS
DUTASTERIDA,AVODART,SOLIDO,GLAXOSMITHKLINE
PARICALCITOL,ZEMPLAR,SOLIDO,ABBOTT  / ABBVIE
LETROZOL,FEMARA,SOLIDO,NOVARTIS
GABAPENTIN,NEURONTIN,SOLIDO,PFIZER
GABAPENTIN,KAPTIN,SOLIDO,LEGRAND
GABAPENTIN,GABAPENTINA SANDOZ,SOLIDO,SANDOZ
GABAPENTIN,GABAPENTINA,SOLIDO,WINTHROP
GABAPENTIN,GABAPENTINA,SOLIDO,SANOFI AVENTIS
TREPROSTINILO,REMODULIN,LIQUIDO/SOLIDO,FERRER
BUPROPION,ODRANAL,SOLIDO,MONTE VERDE
BUPROPION,WELLBUTRIN XL,SOLIDO,GLAXOSMITHKLINE
DULOXETINA,CYMBALTA,SOLIDO,ELI LILLY
DULOXETINA,INMOX,SOLIDO,TECNOQUIMICAS
DULOXETINA,DULOXETINA,SOLIDO,MK
DONEPEZIL,ALZIT,SOLIDO,PROCAPS
CARVEDILOL,DILATREND,SOLIDO,CHEPLAPHARM
CARVEDILOL,DILATREND,SOLIDO,ROCHE
CARVEDILOL,DILATREND,SOLIDO,CHEPLAFARM
IRBESARTAN,IRBESARTAN,SOLIDO,TECNOQUIMICAS
IRBESARTAN,APROVEL,SOLIDO,SANOFI AVENTIS
TOLTERODINA,DETRUSITOL,SOLIDO,PFIZER
ITRACONAZOL,ENITRAX,SOLIDO,PROCAPS
ITRACONAZOL,SPORANOX,SOLIDO,JANSSEN
ANASTROZOL,ARIMIDEX,SOLIDO,ASTRAZENECA
NARATRIPTAN,NARAMIG,SOLIDO,GLAXOSMITHKLINE
DESVENLAFAXINA,PRISTIQ,SOLIDO,PFIZER
DESVENLAFAXINA,STYMA,SOLIDO,TECNOQUIMICAS
ATOMOXETINA,STRATTERA,SOLIDO,ELI LILLY
ATOMOXETINA,ATTENTHO,SOLIDO,SYNTHESIS
RILUZOL,RILUTEK,SOLIDO,SANOFI AVENTIS
TICAGRELOR,BRILINTA,SOLIDO,ASTRAZENECA
ITRACONAZOL,SPORANOX,LIQUIDO,JANSSEN
CARBAMAZEPINA,TEGRETOL,SOLIDO,NOVARTIS
CARBAMAZEPINA,CARBAMAZEPINA,LIQUIDO,TECNOFAR
LEVETIRACETAM,KEPPRA,LIQUIDO,GLAXOSMITHKLINE
RISPERIDONA,TRACTAL,LIQUIDO,SCANDINAVIA PHARMA
RISPERIDONA,RISPERDAL,LIQUIDO,JANSSEN
BRIMONIDINA,AGGLAD OFTENO,LIQUIDO,SOPHIA
BRIMONIDINA,ALPHAGAN,LIQUIDO,ALLERGAN
BRIMONIDINA,BRIMOFTAL P,LIQUIDO,TECNOQUIMICAS
BRIMONIDINA,BRIMOFTAL,LIQUIDO,TECNOQUIMICAS
LATANOPROST,LOUTEN,LIQUIDO,SCANDINAVIA PHARMA
LATANOPROST,LATANOX,LIQUIDO,PROCAPS
LATANOPROST,GAAP OFTENO,LIQUIDO,SOPHIA
LATANOPROST,XALATAN,LIQUIDO,PFIZER
BIMATOPROST,LUMIGAN,LIQUIDO,ALLERGAN
BIMATOPROST,LUMIGAN RC,LIQUIDO,ALLERGAN
BIMATOPROST,LUMIGAN UD,LIQUIDO,ALLERGAN
TRAVOPROST,GLAUCOPROST,LIQUIDO,SCANDINAVIA PHARMA
MEMANTINA,MEMANTINA,SOLIDO,MK
MEMANTINA,EBIXA,SOLIDO,LUNDBECK
MEMANTINA,AKATINOL,SOLIDO,MERZ PHARMACEUTICALS
RISPERIDONA,RISPERIDONA,SOLIDO,TECNOQUIMICAS
RISPERIDONA,RISPERDAL,SOLIDO,JANSSEN
TENECTEPLASA,METALYSE,LIQUIDO/SOLIDO,BOEHRINGER
FONDAPARINUX,ARIXTRA,LIQUIDO/SOLIDO,ASPEN
ALPROSTADIL,CAVERJECT,LIQUIDO/SOLIDO,PFIZER
MOXIFLOXACINA,AVELOX,LIQUIDO/SOLIDO,BAYER
MOXIFLOXACINA,FLOXANAR,LIQUIDO/SOLIDO,ADS PHARMA
PRASUGREL,EFFIENT,SOLIDO,DAIICHI SANKYO
VALPROICO,VALCOTE,SOLIDO,LAFRANCOL
NOMEGESTROL,ZOELY,SOLIDO,MERCK SHARP DOME
NOMEGESTROL,NOVAL,SOLIDO,SYNTHESIS
LIDOCAINA,VERSATIS,SOLIDO,GRUNENTHAL
BUPRENORFINA,TRANSTEC,SOLIDO,GRUNENTHAL
BUPRENORFINA,NORSPAN,SOLIDO,GRUNENTHAL
FENTANILO,DURFENTA,SOLIDO,PINT PHARMA
FENTANILO,DUROGESIC,SOLIDO,JANSSEN
TOBRAMICINA,BRAMITOB,LIQUIDO,CHIESI
TOBRAMICINA,TOBI,LIQUIDO,NOVARTIS
DESMOPRESINA,MINIRIN,LIQUIDO,FERRING
DESMOPRESINA,GENOPRESIN,LIQUIDO,LAFRANCOL
DESMOPRESINA,MINIRIN MELT,SOLIDO,FERRING
DESMOPRESINA,GENOPRESIN,SOLIDO,LAFRANCOL
DESMOPRESINA,OCTOSTIM,LIQUIDO/SOLIDO,FERRING
DESMOPRESINA,DESMOPRESIN,LIQUIDO/SOLIDO,FERRING
DESMOPRESINA,HEMOSPEP,LIQUIDO/SOLIDO,ORPHANPHARMA
OXCARBAZEPINA,TRILEPTAL,LIQUIDO,NOVARTIS
OXCARBAZEPINA,TRILEPTAL,SOLIDO,NOVARTIS
OXCARBAZEPINA,OXCARBAZEPINA,SOLIDO,TECNOQUIMICAS
DOMPERIDONA,HARMETONE,SOLIDO,JANSSEN
DOMPERIDONA,MOPERID,SOLIDO,SIEGFRIED
DOMPERIDONA,DOMPERIDONA,SOLIDO,GENFAR
IBANDRONICO,BONDRONAT,LIQUIDO/SOLIDO,ATNAHS
IBANDRONICO,BONVIVA,LIQUIDO/SOLIDO,ATNAHS
IBANDRONICO,OSEBAN,LIQUIDO/SOLIDO,LAFRANCOL
ERTAPENEM,ERTAPENEM,LIQUIDO/SOLIDO,NORSTRAY NUART
TRIPTORELIN,GONAPEPTYL,LIQUIDO,FERRING
LOMITAPIDA,JUXTAPID,SOLIDO,VALENTECH
LAPATINIB,TYKERB,SOLIDO,NOVARTIS
LACOSAMIDA,VIMPAT,SOLIDO,UCB
LACOSAMIDA,COSAMIDE,SOLIDO,XINETIX PHARMA
METOPROLOL,BETALOC ZOK,SOLIDO,ASTRAZENECA
TRASTUZUMAB,KADCYLA,LIQUIDO/SOLIDO,ROCHE
ROTIGOTINA,NEUPRO,SOLIDO,UCB
TELMISARTAN,MICARDIS,SOLIDO,BOEHRINGER
TELMISARTAN,XIFEN,SOLIDO,SCANDINAVIA PHARMA
TELMISARTAN,TELMISARTAN,SOLIDO,LA SANTE
OLMESARTAN,OLMETEC,SOLIDO,PFIZER
OLMESARTAN,ILTUX,SOLIDO,FARMACEUTICA PARAGUAYA
OLMESARTAN,OLMESARTAN MEDOXOMIL,SOLIDO,TECNOQUIMICAS
OLMESARTAN,OLMESARTAN,SOLIDO,TECNOQUIMICAS
LEVONORGESTREL,NORVETAL,SOLIDO,SYNTHESIS
LEVONORGESTREL,MICROGYNON,SOLIDO,TECNOFARMA
LEVONORGESTREL,MINIPIL,SOLIDO,LAFRANCOL
LEVONORGESTREL,SEGUBELL,SOLIDO,LAFRANCOL
LEVONORGESTREL,ACTIVA 21 SUAVE,SOLIDO,BCN MEDICAL
LEVONORGESTREL,NEOGYNON,SOLIDO,BAYER
EZETIMIBE,ZETIA,SOLIDO,MERCK SHARP DOME
DROSPIRENONA,YASMIN,SOLIDO,BAYER
DROSPIRENONA,FEMELLE,SOLIDO,SYNTHESIS
DROSPIRENONA,YAX,SOLIDO,LAFRANCOL
DROSPIRENONA,FEMELLE 20,SOLIDO,SYNTHESIS
DROSPIRENONA,YASMINIQ,SOLIDO,BAYER
DROSPIRENONA,YAXIBELLE,SOLIDO,LAFRANCOL
DIENOGEST,BELLAFACE,SOLIDO,LAFRANCOL
DIENOGEST,ACOTOL,SOLIDO,SYNTHESIS
DIENOGEST,BELLAFACE SUAVE,SOLIDO,LAFRANCOL
DEXRAZOXANA,CARDIOXANE,LIQUIDO/SOLIDO,CLINIGEN HELTHCARE
BISOPROLOL,CONCOR,SOLIDO,MERCK
ANTICONCEPTIVO,POSTDAY,SOLIDO,LAFRANCOL
ANTICONCEPTIVO,POSTDAYPLUS,SOLIDO,HRA PHARMA
ANTICONCEPTIVO,EVINET,SOLIDO,PROCAPS
DROSPIRENONA,ANGELIQ,SOLIDO,BAYER
DROSPIRENONA,CLINOMAT,SOLIDO,SYNTHESIS
GANCICLOVIR,CYMEVENE,LIQUIDO/SOLIDO,ROCHE
ALIROCUMAB,PRALUENT,LIQUIDO/SOLIDO,SANOFI AVENTIS
BASILIXIMAB,SIMULECT,LIQUIDO/SOLIDO,NOVARTIS
BLINATUMOMAB,BLINCYTO,LIQUIDO/SOLIDO,AMGEN
BOSUTINIB,XOLYXA,SOLIDO,LAFRANCOL
BROMURO,SEEBRI BREEZHALER,SOLIDO,NOVARTIS
BUDESONIDA,BUDENOFALK,SOLIDO,DR FALK PHARMA
BUDESONIDA,CORTIMENT MMX,SOLIDO,FERRING
BUDESONIDA,BUDEMAR DUO,LIQUIDO,BIOTOSCANA
BUDESONIDA,SYMBICORT RAPIHALER,LIQUIDO,ASTRAZENECA
BUDESONIDA,SYMBICORT TURBUHALER,SOLIDO,ASTRAZENECA
BUDESONIDA,AEROVIAL,SOLIDO,NOVAMED
CARBETOCINA,DURATOCIN,LIQUIDO/SOLIDO,FERRING
CEFUROXIME,ZINACEF,LIQUIDO/SOLIDO,GLAXOSMITHKLINE
CELECOXIB,CELEBREX,SOLIDO,PFIZER
CIPROTERONA,ANDROCUR,SOLIDO,BAYER
CIPROTERONA,FACETIX,SOLIDO,SYNTHESIS
CIPROTERONA,DIANE 35,SOLIDO,BAYER
CIPROTERONA,FACETIX SUAVE,SOLIDO,LAFRANCOL
CIPROTERONA,FACETIX MINI,SOLIDO,LAFRANCOL
CISATRACURIO,NIMBIUM,LIQUIDO/SOLIDO,ASPEN
CITARABINA,CITARABINA,LIQUIDO/SOLIDO,FRESENIUS
CITARABINA,CITARABINA,LIQUIDO/SOLIDO,ROPSOHN
CLORMADINONA,BELARA,SOLIDO,GRUNENTHAL
CLORMADINONA,BELARINA,SOLIDO,GRUNENTHAL
CLORMADINONA,GYNORELLE,SOLIDO,SYNTHESIS
CLORMADINONA,ADELLA,SOLIDO,PROCAPS
CLORMADINONA,ADELLA MINI,SOLIDO,PROCAPS
DABRAFENIB,TAFINLAR,SOLIDO,NOVARTIS
DABRAFENIB,TAFINLAR50,SOLIDO,NOVARTIS
DALTEPARINA,FRAGMIN,LIQUIDO/SOLIDO,PFIZER
DESOGESTREL,CERAZETTE,SOLIDO,ORGANON
DESOGESTREL,MERCILON,SOLIDO,ORGANON
DIDROGESTERONA,DUPHASTON,SOLIDO,LAFRANCOL
DIDROGESTERONA,FEMOSTON CONTI,SOLIDO,LAFRANCOL
DIMETILFUMARATO,YARDIX,SOLIDO,SYNTHESIS
ELOSULFASA,VIMIZIM,LIQUIDO/SOLIDO,BIOMARIN
ESTRADIOL,ESTROGEL,SEMISOLIDO,BESINS MANUFACTURING
ESTRADIOL,GINODERM,SEMISOLIDO,SYNTHESIS
ESTRIOL,FEMTRIOL,SEMISOLIDO,CHALVER
ESTRIOL,OVESTIN,SEMISOLIDO,ASPEN
ESTROGENOS,ESTERMAX,SEMISOLIDO,CHALVER
ESTROGENOS,FEVENY,SEMISOLIDO,BCN MEDICAL
ESTROGENOS,PREMARINCREMA,SEMISOLIDO,PFIZER
ESTROGENOS,ESTERMAX,SOLIDO,CHALVER
ESTROGENOS,PREMARIN,SOLIDO,PFIZER
ESTROGENOS,FEVENY,SOLIDO,BCN MEDICAL
EVOLOCUMAB,REPATHA,LIQUIDO/SOLIDO,AMGEN
FENOTEROL,BERODUAL HFA,LIQUIDO,BOEHRINGER
FENOTEROL,BERODUAL,LIQUIDO,BOEHRINGER
FLUTICASONA,AVAMYS,LIQUIDO,GLAXOSMITHKLINE
FLUTICASONA,FLIXOTIDE,LIQUIDO,GLAXOSMITHKLINE
FORMOTEROL,FORADIL,SOLIDO,NOVARTIS
GEFITINIB,IRESSA,SOLIDO,ASTRAZENECA
GLATIRAMER,COPAXONE,LIQUIDO/SOLIDO,TEVA
ICATIBANT,FIRAZYR,LIQUIDO/SOLIDO,BAXALTA
INDACATEROL,ONBRIZE BREEZHALER,SOLIDO,NOVARTIS
INMUNOGLOBULINA,RHOPHYLAC,LIQUIDO/SOLIDO,CSL
INMUNOGLOBULINA,HEPATECT CP,LIQUIDO/SOLIDO,BIOTEST
INSULINA,TRESIBA,LIQUIDO/SOLIDO,NOVO NORDISK
IPRATROPIO,ATROVENT HFA,LIQUIDO,BOEHRINGER
IPRATROPIO,CIPLATROPIUN,LIQUIDO,BIOTOSCANA
IPRATROPIO,IPRASYNT,LIQUIDO,BCN MEDICAL
LABETALOL,TRANDATE,LIQUIDO/SOLIDO,KERN PHARMA
LIRAGLUTIDE,VICTOZA,LIQUIDO/SOLIDO,NOVO NORDISK
LIRAGLUTIDE,SAXENDA6,LIQUIDO/SOLIDO,NOVO NORDISK
MEDROXIPROGESTERONA,PROVERA,SOLIDO,PFIZER
METFORMINA,TRAYENTA DUO,SOLIDO,BOEHRINGER
METFORMINA,GALVUSMET,SOLIDO,NOVARTIS
MIRABEGRON,MYRBETRIC,SOLIDO,ASTELLAS
NEPAFENACO,NEVANAC,LIQUIDO,NOVARTIS
NINTEDANIB,OFEV,SOLIDO,BOEHRINGER
NORELGESTROMIN,EVRA,SOLIDO,JANSSEN
NORETISTERONA,NOFERTYL,LIQUIDO/SOLIDO,LAFRANCOL
NORETISTERONA,MESIGYNA,LIQUIDO/SOLIDO,BAYER
OLAPARIB,LYNPARZA,SOLIDO,ASTRAZENECA
OLODATEROL,SPIOLTO RESPIMAT,LIQUIDO,BOEHRINGER
PALBOCICLIB,REAMPLA,SOLIDO,PFIZER
PALIPERIDONA,INVEGA TRINZA,LIQUIDO/SOLIDO,JANSSEN
PALIPERIDONA,INVEGA,SOLIDO,JANSSEN
PASIREOTIDA,SIGNIFORLAR,LIQUIDO/SOLIDO,NOVARTIS
PEGASPARGASA,ONCASPAR,LIQUIDO/SOLIDO,LABORATORIOS SERVIER
PROGESTERONA,PROGESTOGEL,SEMISOLIDO,BESINS HEALTHCARE
PROGESTERONA,JARIT,SEMISOLIDO,PROCAPS
RALOXIFENO,EVISTA,SOLIDO,ELI LILLY
RIBOCICLIB,KISQALI,SOLIDO,NOVARTIS
SAXAGLIPTINA,ONGLYZA,SOLIDO,ASTRAZENECA
SIMVASTATIN,VYTORIN,SOLIDO,MERCK SHARP DOME
SIMVASTATIN,EZETIMIBE + SIMBASTATINA,SOLIDO,MK
SITAGLIPTINA,JANUVIA,SOLIDO,MERCK SHARP DOME
SOLIFENACINA,VESICARE,SOLIDO,ASTELLAS
TAFLUPROST,SAFLUTAN,LIQUIDO,MUNDIPHARMA
TIBOLONA,TIBONELLA,SOLIDO,CHALVER
TIBOLONA,TINOX,SOLIDO,SYNTHESIS
TIBOLONA,LIVIAL,SOLIDO,ORGANON
TIOTROPIO,SPIRIVARESPIMAT,LIQUIDO,BOEHRINGER
VALSARTAN,ENTRESTO,SOLIDO,NOVARTIS
NUSINERSEN,SPINRAZA,LIQUIDO/SOLIDO,BIOGEN
RIVAROXABAN,XARELTO,SOLIDO,BAYER
TOXINA,DYSPORT,LIQUIDO/SOLIDO,IPSEN
TOXINA,BOTOX,LIQUIDO/SOLIDO,ALLERGAN
RITUXIMAB,MABTHERA,LIQUIDO/SOLIDO,ROCHE
TRASTUZUMAB,HERCEPTIN,SOLIDO,ROCHE
LENALIDOMIDA,REVLIMID,SOLIDO,CELGENE EUROPE
EVEROLIMUS,CERTICAN,SOLIDO,NOVARTIS
VENLAFAXINA,EFEXOR XR,SOLIDO,PFIZER
DOXORUBICINA,DOXOPEG,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA
ZOLEDRONICO,ZOMETA,LIQUIDO/SOLIDO,NOVARTIS
ALPROSTADIL,ALPROSTAPINT,LIQUIDO/SOLIDO,PINT PHARMA
ALPROSTADIL,PROSTIN,LIQUIDO/SOLIDO,PFIZER
LEVONORGESTREL,MIRENA,SOLIDO,BAYER
DIENOGEST,QLAIRA,SOLIDO,BAYER
DIENOGEST,EVELY,SOLIDO,LAFRANCOL
CEFUROXIME,CEFUROXIMA,SOLIDO,GENFAR
CEFUROXIME,ZINNAT,SOLIDO,GLAXOSMITHKLINE
CEFUROXIME,XORIMAX,SOLIDO,SANDOZ
CEFUROXIME,CEFUROXIMA,SOLIDO,LA SANTE
ESTRADIOL,PROGYNOVA,SOLIDO,BAYER
ESTRADIOL,LINDISC,SOLIDO,BAYER
EXENATIDA,BYDUREONPEN,LIQUIDO/SOLIDO,ASTRAZENECA
