NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
TORASEMIDA,GENERICO,TARBIS FARMA S.L.,TORASEMIDA,2.65,SI,NO
MELOXICAM,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,MELOXICAM,2.54,NO,NO
MELOXICAM,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,MELOXICAM,2.5,NO,NO
TORASEMIDA,GENERICO,TARBIS FARMA S.L.,TORASEMIDA,5.29,SI,NO
TOBREXAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,TOBRAMICINA,2.5,NO,NO
LANSOPRAZOL,GENERICO,NORMON S.A.,LANSOPRAZOL,7.96,NO,NO
TORASEMIDA,GENERICO,COMBIX S.L.U,TORASEMIDA,5.29,SI,NO
TORASEMIDA,GENERICO,COMBIX S.L.U,TORASEMIDA,2.65,SI,NO
ENALAPRIL,GENERICO,ALTER S.A.,ENALAPRIL,1.61,SI,NO
LISINOPRIL/HIDROCLOROTIAZIDA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,HIDROCLOROTIAZIDALISINOPRIL,7.37,NO,NO
BLOPRESS,ORIGINAL,RUBIO S.A.,CANDESARTAN,20.97,NO,NO
BOSPORON,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,LORNOXICAM,6.78,NO,NO
CO-DIOVAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
REGULATEN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,EPROSARTAN,24.82,NO,NO
OMEPRAZOL,ORIGINAL,SANDOZ FARMACEUTICA S.A,OMEPRAZOL,4.15,NO,NO
SUMATRIPTAN,GENERICO,SANDOZ FARMACEUTICA S.A,SUMATRIPTAN,12.18,NO,NO
IBUPROFENO,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,IBUPROFENO,1.97,NO,NO
KEPPRA,ORIGINAL,UCB PHARMA S.A.,LEVETIRACETAM,56.64,NO,NO
TESTIM,ORIGINAL,FERRING S.A.U,TESTOSTERONA,52.92,NO,NO
LISINOPRIL,GENERICO,TEVA PHARMA S.L.U,LISINOPRIL,6.35,SI,NO
LORATADINA,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,LORATADINA,3.11,NO,NO
CITALOPRAM,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,CITALOPRAM,5.12,NO,NO
CITALOPRAM,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,CITALOPRAM,10.24,NO,NO
CITALOPRAM,ORIGINAL,TEVA PHARMA S.L.U,CITALOPRAM,2.5,NO,NO
CITALOPRAM,ORIGINAL,TEVA PHARMA S.L.U,CITALOPRAM,2.56,NO,NO
LANSOPRAZOL,GENERICO,NORMON S.A.,LANSOPRAZOL,15.92,NO,NO
NODETRIP,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,DULOXETINA,26.73,NO,NO
CITALOPRAM,GENERICO,TEVA PHARMA S.L.U,CITALOPRAM,5.12,NO,NO
CITALOPRAM,GENERICO,TEVA PHARMA S.L.U,CITALOPRAM,10.24,NO,NO
NAVIXEN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,EPROSARTAN,24.82,NO,NO
INEGY,ORIGINAL,ORGANON SALUD S.L.,SIMVASTATINAEZETIMIBA,32.72,NO,NO
DOXAZOSINA,GENERICO,BEXAL FARMACEUTICA S.A.,DOXAZOSINA,7.27,SI,NO
PANTOPRAZOL,GENERICO,BEXAL FARMACEUTICA S.A.,PANTOPRAZOL,17.48,NO,NO
LORATADINA,GENERICO,TEVA PHARMA S.L.U,LORATADINA,3.11,NO,NO
PANTOPRAZOL,GENERICO,BEXAL FARMACEUTICA S.A.,PANTOPRAZOL,8.74,NO,NO
FLUVASTATINA,GENERICO,SANDOZ FARMACEUTICA S.A,FLUVASTATINA,19.98,SI,NO
OMEPRAZOL,ORIGINAL,MEIJI PHARMA SPAIN S.A.,OMEPRAZOL,2.42,NO,NO
RISEDRONATO,GENERICO,SANDOZ FARMACEUTICA S.A,RISEDRONATO,19.84,NO,NO
OMEPRAZOL,ORIGINAL,MABO-FARMA S.A.,OMEPRAZOL,4.15,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,FLUCONAZOL,7.51,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,FLUCONAZOL,15.0,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,FLUCONAZOL,3.22,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,FLUCONAZOL,12.86,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,FLUCONAZOL,30.0,NO,NO
XAGRID,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,ANAGRELIDA,312.95,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,OLANZAPINA,105.78,NO,NO
NODETRIP,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,DULOXETINA,13.36,NO,NO
ARIXTRA,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,FONDAPARINUX,164.86,NO,NO
ARIXTRA,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,FONDAPARINUX,223.42,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,OLANZAPINA,52.89,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,VALSARTAN,16.3,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,SANDOZ FARMACEUTICA S.A,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
LACTISONA,ORIGINAL,STIEFEL FARMA S.A,HIDROCORTISONA,3.92,NO,NO
SIMVASTATINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,SIMVASTATINA,1.58,SI,NO
SIMVASTATINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,SIMVASTATINA,2.17,SI,NO
AFLUON,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,AZELASTINA,11.33,NO,NO
REPAGLINIDA,GENERICO,SANDOZ FARMACEUTICA S.A,REPAGLINIDA,11.18,NO,NO
ENALAPRIL,GENERICO,ARISTO PHARMA IBERIA S.L.,ENALAPRIL,1.61,SI,NO
FUTURAN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,EPROSARTANHIDROCLOROTIAZIDA,24.82,NO,NO
MELOXICAM,GENERICO,KERN PHARMA S.L.,MELOXICAM,2.54,NO,NO
LERCANIDIPINO,GENERICO,SANDOZ FARMACEUTICA S.A,LERCANIDIPINO,12.47,NO,NO
FORMOTEROL,GENERICO,ALDO-UNION S.L.,FORMOTEROL,22.54,SI,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,OLANZAPINA,26.44,NO,NO
QUINAPRIL,GENERICO,NORMON S.A.,QUINAPRIL,9.3,SI,NO
QUINAPRIL,GENERICO,NORMON S.A.,QUINAPRIL,4.65,SI,NO
QUINAPRIL,GENERICO,NORMON S.A.,QUINAPRIL,2.5,SI,NO
REPAGLINIDA,GENERICO,SANDOZ FARMACEUTICA S.A,REPAGLINIDA,5.59,NO,NO
VYTORIN,ORIGINAL,ORGANON SALUD S.L.,SIMVASTATINAEZETIMIBA,32.72,NO,NO
FORMOTEROL,ORIGINAL,STADA S.L,FORMOTEROL,22.54,SI,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,OXICODONA,3.81,NO,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,OXICODONA,7.6,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,VALSARTAN,32.6,NO,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,OXICODONA,15.2,NO,NO
REPAGLINIDA,GENERICO,SANDOZ FARMACEUTICA S.A,REPAGLINIDA,2.79,NO,NO
RISPERIDONA,GENERICO,STADA S.L,RISPERIDONA,2.75,NO,NO
RISPERIDONA,GENERICO,STADA S.L,RISPERIDONA,8.23,NO,NO
RISPERIDONA,GENERICO,STADA S.L,RISPERIDONA,24.67,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,VALSARTAN,2.5,NO,NO
RISPERIDONA,GENERICO,STADA S.L,RISPERIDONA,49.31,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,OLANZAPINA,79.33,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,SANDOZ FARMACEUTICA S.A,VALSARTANHIDROCLOROTIAZIDA,5.99,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,RISPERIDONA,2.75,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,RISPERIDONA,8.23,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,OLANZAPINA,13.22,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,RISPERIDONA,49.31,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,VALSARTAN,8.15,NO,NO
ALENDRONICO,GENERICO,SANDOZ FARMACEUTICA S.A,ALENDRONATO,9.99,NO,NO
AMLODIPINO,GENERICO,SANDOZ FARMACEUTICA S.A,AMLODIPINO,2.5,SI,NO
OMEPRAZOL,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,OMEPRAZOL,2.5,NO,NO
OMEPRAZOL,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,OMEPRAZOL,4.15,NO,NO
OMEPRAZOL,ORIGINAL,APOTEX ESPANA S.L,OMEPRAZOL,4.15,NO,NO
CETIRIZINA,GENERICO,CINFA S.A.,CETIRIZINA,3.12,NO,NO
CETIRIZINA,GENERICO,TOWA PHARMACEUTICAL S.A.,CETIRIZINA,3.12,NO,NO
PRAVASTATINA,GENERICO,TEVA PHARMA S.L.U,PRAVASTATINA,4.07,SI,NO
PRAVASTATINA,GENERICO,TEVA PHARMA S.L.U,PRAVASTATINA,8.15,SI,NO
PRAVASTATINA,GENERICO,TEVA PHARMA S.L.U,PRAVASTATINA,16.3,SI,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,OXICODONA,8.15,NO,NO
RESINCALCIO,ORIGINAL,RUBIO S.A.,POLIESTIRENOSULFONATO,28.96,NO,NO
ELIGARD,ORIGINAL,CASEN RECORDATI S.L..,LEUPRORELINA,124.12,NO,NO
CODEROL,ORIGINAL,ALMIRALL S.A.,GLUCOSAMINA,6.14,NO,NO
ELIGARD,ORIGINAL,CASEN RECORDATI S.L..,LEUPRORELINA,301.03,NO,NO
CARVEDILOL,GENERICO,KRKA D.D. NOVO MESTO,CARVEDILOL,6.04,SI,NO
LOETTE,ORIGINAL,PFIZER S.L,ETINILESTRADIOLLEVONORGESTREL,2.58,NO,NO
LOETTE,ORIGINAL,PFIZER S.L,LEVONORGESTRELETINILESTRADIOL,7.73,NO,NO
DORMICUM,ORIGINAL,RUBIO S.A.,MIDAZOLAM,2.65,NO,NO
DOXAZOSINA,GENERICO,SANDOZ FARMACEUTICA S.A,DOXAZOSINA,7.27,SI,NO
ENALAPRIL,GENERICO,SANDOZ FARMACEUTICA S.A,ENALAPRIL,1.61,SI,NO
SINERGINA,ORIGINAL,FAES FARMA S.A.,FENITOINA,3.12,SI,NO
REMINYL,ORIGINAL,JANSSEN CILAG S.A.,GALANTAMINA,23.12,NO,NO
REMINYL,ORIGINAL,JANSSEN CILAG S.A.,GALANTAMINA,46.24,NO,NO
REMINYL,ORIGINAL,JANSSEN CILAG S.A.,GALANTAMINA,69.36,NO,NO
HESPERCORBIN,ORIGINAL,ZAMBON S.A.U.,GLUCOSAMINA,6.14,NO,NO
LIDOCAINA,ORIGINAL,B. BRAUN MEDICAL S.A.,LIDOCAINA,1.0,NO,NO
FENTANILO,GENERICO,SANDOZ FARMACEUTICA S.A,FENTANILO,58.51,NO,NO
GLIMEPIRIDA,GENERICO,BEXAL FARMACEUTICA S.A.,GLIMEPIRIDA,20.36,NO,NO
BUDESONIDA,ORIGINAL,ORION CORPORATION,BUDESONIDA,24.52,SI,NO
BUDESONIDA,ORIGINAL,ORION CORPORATION,BUDESONIDA,12.25,SI,NO
CO-VALS,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,VALSARTANHIDROCLOROTIAZIDA,11.99,NO,NO
GLIMEPIRIDA,GENERICO,BEXAL FARMACEUTICA S.A.,GLIMEPIRIDA,10.18,NO,NO
UROLOSIN,ORIGINAL,BOEHRINGER INGELHEIM ESPANA S.A.,TAMSULOSINA,10.96,NO,NO
OMNIC,ORIGINAL,ASTELLAS PHARMA S.A,TAMSULOSINA,10.96,NO,NO
SERTRALINA,GENERICO,MABO-FARMA S.A.,SERTRALINA,11.66,NO,NO
SERTRALINA,GENERICO,MABO-FARMA S.A.,SERTRALINA,23.32,NO,NO
SERTRALINA,GENERICO,SANDOZ FARMACEUTICA S.A,SERTRALINA,11.66,NO,NO
SERTRALINA,GENERICO,TEVA PHARMA S.L.U,SERTRALINA,23.32,NO,NO
SERTRALINA,GENERICO,TEVA PHARMA S.L.U,SERTRALINA,11.66,NO,NO
SERTRALINA,GENERICO,SANDOZ FARMACEUTICA S.A,SERTRALINA,5.84,NO,NO
VENLAFAXINA,GENERICO,COMBIX S.L.U,VENLAFAXINA,6.38,NO,NO
VENLAFAXINA,GENERICO,COMBIX S.L.U,VENLAFAXINA,9.59,NO,NO
VENLAFAXINA,GENERICO,COMBIX S.L.U,VENLAFAXINA,19.15,NO,NO
VENLAFAXINA,GENERICO,TEVA PHARMA S.L.U,VENLAFAXINA,9.59,NO,NO
VENLAFAXINA,GENERICO,TEVA PHARMA S.L.U,VENLAFAXINA,6.38,NO,NO
VENLAFAXINA,GENERICO,TEVA PHARMA S.L.U,VENLAFAXINA,19.15,NO,NO
ATORVASTATINA,GENERICO,CINFA S.A.,ATORVASTATINA,4.09,NO,NO
ATORVASTATINA,GENERICO,CINFA S.A.,ATORVASTATINA,8.18,NO,NO
ATORVASTATINA,GENERICO,CINFA S.A.,ATORVASTATINA,16.36,NO,NO
CLIPPER,ORIGINAL,CHIESI ESPANA S.A.U.,BECLOMETASONA,83.83,NO,NO
BIDICLIN,ORIGINAL,CHIESI ESPANA S.A.U.,BECLOMETASONA,83.83,NO,NO
IRBESARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,IRBESARTANHIDROCLOROTIAZIDA,9.65,NO,NO
IRBESARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,HIDROCLOROTIAZIDAIRBESARTAN,19.29,NO,NO
REPAGLINIDA,GENERICO,CINFA S.A.,REPAGLINIDA,2.79,NO,NO
AZILECT,ORIGINAL,TEVA PHARMA S.L.U,RASAGILINA,91.32,NO,NO
REPAGLINIDA,GENERICO,CINFA S.A.,REPAGLINIDA,5.59,NO,NO
REPAGLINIDA,GENERICO,CINFA S.A.,REPAGLINIDA,11.18,NO,NO
QUINAPRIL,GENERICO,TAMARANG S.A.,QUINAPRIL,4.65,SI,NO
IBUPROFENO,ORIGINAL,SANDOZ FARMACEUTICA S.A,IBUPROFENO,1.22,NO,NO
IBUPROFENO,ORIGINAL,SANDOZ FARMACEUTICA S.A,IBUPROFENO,2.5,NO,NO
IBUPROFENO,ORIGINAL,SANDOZ FARMACEUTICA S.A,IBUPROFENO,3.75,NO,NO
OMEPRAZOL,ORIGINAL,SANDOZ FARMACEUTICA S.A,OMEPRAZOL,2.19,NO,NO
PIREXIN,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,IBUPROFENO,3.75,NO,NO
QUINAPRIL,GENERICO,TAMARANG S.A.,QUINAPRIL,2.5,SI,NO
QUINAPRIL,GENERICO,TAMARANG S.A.,QUINAPRIL,9.3,SI,NO
CITALOPRAM,GENERICO,BEXAL FARMACEUTICA S.A.,CITALOPRAM,15.36,NO,NO
KALPRESS,ORIGINAL,LACERS.A.,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
AZITROMICINA,GENERICO,SANDOZ FARMACEUTICA S.A,AZITROMICINA,5.62,NO,NO
CITALOPRAM,GENERICO,BEXAL FARMACEUTICA S.A.,CITALOPRAM,10.24,NO,NO
CEFTRIAXONA,GENERICO,IPS FARMA S.L.,CEFTRIAXONA,2.5,NO,NO
ELECOR,ORIGINAL,ALMIRALL S.A.,EPLERENONA,26.68,NO,NO
OMEPRAZOL,ORIGINAL,SANDOZ FARMACEUTICA S.A,OMEPRAZOL,2.5,NO,NO
ELECOR,ORIGINAL,ALMIRALL S.A.,EPLERENONA,53.34,NO,NO
MITEN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,2.75,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,8.24,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,24.73,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,49.46,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,2.5,NO,NO
RISPERIDONA,GENERICO,CINFA S.A.,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,CINFA S.A.,RISPERIDONA,8.23,NO,NO
RISPERIDONA,GENERICO,CINFA S.A.,RISPERIDONA,2.75,NO,NO
CETIRIZINA,GENERICO,ZENTIVA KS,CETIRIZINA,3.12,NO,NO
PALLADONE,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,HIDROMORFONA,30.22,NO,NO
PALLADONE,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,HIDROMORFONA,60.43,NO,NO
PALLADONE,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,HIDROMORFONA,120.86,NO,NO
PALLADONE,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,HIDROMORFONA,168.52,NO,NO
OMEPRAZOL,GENERICO,SANDOZ FARMACEUTICA S.A,OMEPRAZOL,1.26,NO,NO
CITALOPRAM,GENERICO,NORMON S.A.,CITALOPRAM,7.68,NO,NO
CITALOPRAM,GENERICO,NORMON S.A.,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,NORMON S.A.,CITALOPRAM,5.12,NO,NO
GRISETIN,ORIGINAL,FAES FARMA S.A.,FLUTAMIDA,53.72,NO,NO
MELOXICAM,GENERICO,SANDOZ FARMACEUTICA S.A,MELOXICAM,2.54,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,4.14,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,5.51,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,RISPERIDONA,16.53,NO,NO
RISPERIDONA,ORIGINAL,FARMALIDER S.A.,RISPERIDONA,2.5,NO,NO
RISPERIDONA,ORIGINAL,FARMALIDER S.A.,RISPERIDONA,4.11,NO,NO
RISPERIDONA,ORIGINAL,FARMALIDER S.A.,RISPERIDONA,5.48,NO,NO
RISPERIDONA,ORIGINAL,CINFA S.A.,RISPERIDONA,16.44,NO,NO
RISPERIDONA,ORIGINAL,FARMALIDER S.A.,RISPERIDONA,16.44,NO,NO
LOSARTAN,GENERICO,BEXAL FARMACEUTICA S.A.,LOSARTAN,4.17,SI,NO
LOSARTAN,GENERICO,BEXAL FARMACEUTICA S.A.,LOSARTAN,8.34,SI,NO
ENANTYUM,ORIGINAL,MENARINIS.A.,DEXKETOPROFENO,4.0,NO,NO
KETESSE,ORIGINAL,GUIDOTTI FARMA S.L.,DEXKETOPROFENO,4.0,NO,NO
ENANDOL,ORIGINAL,GUIDOTTI FARMA S.L.,DEXKETOPROFENO,4.0,NO,NO
RISPERIDONA,GENERICO,CINFA S.A.,RISPERIDONA,49.31,NO,NO
VENLAFAXINA,GENERICO,SANDOZ FARMACEUTICA S.A,VENLAFAXINA,19.15,NO,NO
TILKER,ORIGINAL,GERVASI FARMACIA S.L.,DILTIAZEM,21.31,SI,NO
MIRTAZAPINA,GENERICO,TEVA PHARMA S.L.U,MIRTAZAPINA,17.05,NO,NO
VENLAFAXINA,GENERICO,SANDOZ FARMACEUTICA S.A,VENLAFAXINA,9.59,NO,NO
