NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,ESTADO,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
MIRTAZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,MIRTAZAPINA,17.05,NO,NO
PUREGON,ORIGINAL,ORGANON SALUD S.L.,ALTA,FOLITROPINA,359.05,NO,NO
KARVEZIDE,ORIGINAL,SANOFI AVENTIS S.A,ALTA,HIDROCLOROTIAZIDAIRBESARTAN,9.65,NO,NO
KARVEZIDE,ORIGINAL,SANOFI AVENTIS S.A,ALTA,IRBESARTANHIDROCLOROTIAZIDA,19.29,NO,NO
PRAVASTATINA,GENERICO,TARBIS FARMA S.L.,BAJA POR NO COMERCIALIZAR,PRAVASTATINA,4.07,SI,NO
PRAVASTATINA,GENERICO,TARBIS FARMA S.L.,BAJA POR NO COMERCIALIZAR,PRAVASTATINA,8.15,SI,NO
RANITIDINA,GENERICO,MABO-FARMA S.A.,SUSPENSION TEMPORAL GENERAL,RANITIDINA,3.89,NO,NO
ACICLOVIR,GENERICO,MABO-FARMA S.A.,ALTA,ACICLOVIR,9.8,NO,NO
ACICLOVIR,GENERICO,MABO-FARMA S.A.,ALTA,ACICLOVIR,52.95,NO,NO
OMEPRAZOL,GENERICO,MABO-FARMA S.A.,BAJA GENERAL,OMEPRAZOL,2.5,NO,NO
RANITIDINA,GENERICO,MABO-FARMA S.A.,SUSPENSION TEMPORAL GENERAL,RANITIDINA,7.77,NO,NO
POMADA,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,ALTA,NEOMICINA,3.9,NO,NO
POMADA,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,ALTA,NEOMICINA,2.5,NO,NO
ENALAPRIL/HIDROCLOR,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,ALTA,HIDROCLOROTIAZIDAENALAPRIL,1.84,NO,NO
CLARITROMICINA,ORIGINAL,SANDOZ FARMACEUTICA S.A,ALTA,CLARITROMICINA,4.68,NO,NO
LISINOPRIL,GENERICO,TEVA PHARMA S.L.U,ALTA,LISINOPRIL,3.4,SI,NO
HALOPERIDOL,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,ALTA,HALOPERIDOL,2.5,NO,NO
CEFIXIMA,GENERICO,NORMON S.A.,ALTA,CEFIXIMA,11.47,NO,NO
MELOXICAM,GENERICO,STADA S.L,ALTA,MELOXICAM,2.5,NO,NO
MELOXICAM,GENERICO,STADA S.L,ALTA,MELOXICAM,2.54,NO,NO
LISINOPRIL,GENERICO,SUN PHARMA LABORATORIOS S.L,ALTA,LISINOPRIL,6.35,SI,NO
PRAVASTATINA,GENERICO,TARBIS FARMA S.L.,BAJA POR NO COMERCIALIZAR,PRAVASTATINA,16.3,SI,NO
CITALVIR,ORIGINAL,ABABOR PHARMACEUTICALS S.L.,ALTA,CITALOPRAM,2.5,NO,NO
CITALVIR,ORIGINAL,ABABOR PHARMACEUTICALS S.L.,ALTA,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,BEXAL FARMACEUTICA S.A.,ALTA,CITALOPRAM,7.68,NO,NO
IMIGRAN,ORIGINAL,GLAXOSMITHKLINE S.A.,ALTA,SUMATRIPTAN,12.18,NO,NO
TORASEMIDA,GENERICO,TARBIS FARMA S.L.,ALTA,TORASEMIDA,2.65,SI,NO
MELOXICAM,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,MELOXICAM,2.54,NO,NO
MELOXICAM,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,MELOXICAM,2.5,NO,NO
TORASEMIDA,GENERICO,TARBIS FARMA S.L.,ALTA,TORASEMIDA,5.29,SI,NO
TOBREXAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,TOBRAMICINA,2.5,NO,NO
LANSOPRAZOL,GENERICO,NORMON S.A.,ALTA,LANSOPRAZOL,7.96,NO,NO
TORASEMIDA,GENERICO,COMBIX S.L.U,ALTA,TORASEMIDA,5.29,SI,NO
TORASEMIDA,GENERICO,COMBIX S.L.U,ALTA,TORASEMIDA,2.65,SI,NO
ENALAPRIL,GENERICO,ALTER S.A.,ALTA,ENALAPRIL,1.61,SI,NO
LISINOPRIL/HIDROCLOROTIAZIDA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,HIDROCLOROTIAZIDALISINOPRIL,7.37,NO,NO
BLOPRESS,ORIGINAL,RUBIO S.A.,ALTA,CANDESARTAN,20.97,NO,NO
BOSPORON,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,BAJA POR NO COMERCIALIZAR,LORNOXICAM,6.78,NO,NO
CO-DIOVAN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
REGULATEN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,EPROSARTAN,24.82,NO,NO
OMEPRAZOL,ORIGINAL,SANDOZ FARMACEUTICA S.A,ALTA,OMEPRAZOL,4.15,NO,NO
SUMATRIPTAN,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,SUMATRIPTAN,12.18,NO,NO
IBUPROFENO,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,IBUPROFENO,1.97,NO,NO
KEPPRA,ORIGINAL,UCB PHARMA S.A.,ALTA,LEVETIRACETAM,56.64,NO,NO
TESTIM,ORIGINAL,FERRING S.A.U,SUSPENSION TEMPORAL GENERAL,TESTOSTERONA,52.92,NO,NO
LISINOPRIL,GENERICO,TEVA PHARMA S.L.U,ALTA,LISINOPRIL,6.35,SI,NO
LORATADINA,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,LORATADINA,3.11,NO,NO
CITALOPRAM,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,CITALOPRAM,5.12,NO,NO
CITALOPRAM,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,CITALOPRAM,10.24,NO,NO
CITALOPRAM,ORIGINAL,TEVA PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,CITALOPRAM,2.5,NO,NO
CITALOPRAM,ORIGINAL,TEVA PHARMA S.L.U,ALTA,CITALOPRAM,2.56,NO,NO
LANSOPRAZOL,GENERICO,NORMON S.A.,ALTA,LANSOPRAZOL,15.92,NO,NO
NODETRIP,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,DULOXETINA,26.73,NO,NO
CITALOPRAM,GENERICO,TEVA PHARMA S.L.U,ALTA,CITALOPRAM,5.12,NO,NO
CITALOPRAM,GENERICO,TEVA PHARMA S.L.U,ALTA,CITALOPRAM,10.24,NO,NO
NAVIXEN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,EPROSARTAN,24.82,NO,NO
INEGY,ORIGINAL,ORGANON SALUD S.L.,ALTA,SIMVASTATINAEZETIMIBA,32.72,NO,NO
DOXAZOSINA,GENERICO,BEXAL FARMACEUTICA S.A.,BAJA GENERAL,DOXAZOSINA,7.27,SI,NO
PANTOPRAZOL,GENERICO,BEXAL FARMACEUTICA S.A.,BAJA GENERAL,PANTOPRAZOL,17.48,NO,NO
LORATADINA,GENERICO,TEVA PHARMA S.L.U,ALTA,LORATADINA,3.11,NO,NO
PANTOPRAZOL,GENERICO,BEXAL FARMACEUTICA S.A.,BAJA GENERAL,PANTOPRAZOL,8.74,NO,NO
FLUVASTATINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,FLUVASTATINA,19.98,SI,NO
OMEPRAZOL,ORIGINAL,MEIJI PHARMA SPAIN S.A.,BAJA GENERAL,OMEPRAZOL,2.42,NO,NO
RISEDRONATO,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,RISEDRONATO,19.84,NO,NO
OMEPRAZOL,ORIGINAL,MABO-FARMA S.A.,BAJA GENERAL,OMEPRAZOL,4.15,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,ALTA,FLUCONAZOL,7.51,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,ALTA,FLUCONAZOL,15.0,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,ALTA,FLUCONAZOL,3.22,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,ALTA,FLUCONAZOL,12.86,NO,NO
FLUCONAZOL,GENERICO,NORMON S.A.,ALTA,FLUCONAZOL,30.0,NO,NO
XAGRID,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,ALTA,ANAGRELIDA,312.95,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,OLANZAPINA,105.78,NO,NO
NODETRIP,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,DULOXETINA,13.36,NO,NO
ARIXTRA,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,FONDAPARINUX,164.86,NO,NO
ARIXTRA,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,FONDAPARINUX,223.42,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,OLANZAPINA,52.89,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,VALSARTAN,16.3,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
LACTISONA,ORIGINAL,STIEFEL FARMA S.A,BAJA GENERAL,HIDROCORTISONA,3.92,NO,NO
SIMVASTATINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,ALTA,SIMVASTATINA,1.58,SI,NO
SIMVASTATINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,ALTA,SIMVASTATINA,2.17,SI,NO
AFLUON,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,AZELASTINA,11.33,NO,NO
REPAGLINIDA,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA POR NO COMERCIALIZAR,REPAGLINIDA,11.18,NO,NO
ENALAPRIL,GENERICO,ARISTO PHARMA IBERIA S.L.,BAJA POR NO COMERCIALIZAR,ENALAPRIL,1.61,SI,NO
FUTURAN,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,EPROSARTANHIDROCLOROTIAZIDA,24.82,NO,NO
MELOXICAM,GENERICO,KERN PHARMA S.L.,ALTA,MELOXICAM,2.54,NO,NO
LERCANIDIPINO,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,LERCANIDIPINO,12.47,NO,NO
FORMOTEROL,GENERICO,ALDO-UNION S.L.,ALTA,FORMOTEROL,22.54,SI,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,OLANZAPINA,26.44,NO,NO
QUINAPRIL,GENERICO,NORMON S.A.,ALTA,QUINAPRIL,9.3,SI,NO
QUINAPRIL,GENERICO,NORMON S.A.,ALTA,QUINAPRIL,4.65,SI,NO
QUINAPRIL,GENERICO,NORMON S.A.,BAJA GENERAL,QUINAPRIL,2.5,SI,NO
REPAGLINIDA,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA POR NO COMERCIALIZAR,REPAGLINIDA,5.59,NO,NO
VYTORIN,ORIGINAL,ORGANON SALUD S.L.,ALTA,SIMVASTATINAEZETIMIBA,32.72,NO,NO
FORMOTEROL,ORIGINAL,STADA S.L,ALTA,FORMOTEROL,22.54,SI,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,ALTA,OXICODONA,3.81,NO,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,ALTA,OXICODONA,7.6,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,VALSARTAN,32.6,NO,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,ALTA,OXICODONA,15.2,NO,NO
REPAGLINIDA,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,REPAGLINIDA,2.79,NO,NO
RISPERIDONA,GENERICO,STADA S.L,ALTA,RISPERIDONA,2.75,NO,NO
RISPERIDONA,GENERICO,STADA S.L,ALTA,RISPERIDONA,8.23,NO,NO
RISPERIDONA,GENERICO,STADA S.L,ALTA,RISPERIDONA,24.67,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,VALSARTAN,2.5,NO,NO
RISPERIDONA,GENERICO,STADA S.L,ALTA,RISPERIDONA,49.31,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,OLANZAPINA,79.33,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,VALSARTANHIDROCLOROTIAZIDA,5.99,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,ALTA,RISPERIDONA,2.75,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,ALTA,RISPERIDONA,8.23,NO,NO
OLANZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,OLANZAPINA,13.22,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,ALTA,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,NEURAXPHARM SPAIN S.L.U,ALTA,RISPERIDONA,49.31,NO,NO
VALSARTAN,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,VALSARTAN,8.15,NO,NO
ALENDRONICO,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,ALENDRONATO,9.99,NO,NO
AMLODIPINO,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,AMLODIPINO,2.5,SI,NO
OMEPRAZOL,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,OMEPRAZOL,2.5,NO,NO
OMEPRAZOL,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,OMEPRAZOL,4.15,NO,NO
OMEPRAZOL,ORIGINAL,APOTEX ESPANA S.L,BAJA GENERAL,OMEPRAZOL,4.15,NO,NO
CETIRIZINA,GENERICO,CINFA S.A.,ALTA,CETIRIZINA,3.12,NO,NO
CETIRIZINA,GENERICO,TOWA PHARMACEUTICAL S.A.,ALTA,CETIRIZINA,3.12,NO,NO
PRAVASTATINA,GENERICO,TEVA PHARMA S.L.U,ALTA,PRAVASTATINA,4.07,SI,NO
PRAVASTATINA,GENERICO,TEVA PHARMA S.L.U,ALTA,PRAVASTATINA,8.15,SI,NO
PRAVASTATINA,GENERICO,TEVA PHARMA S.L.U,ALTA,PRAVASTATINA,16.3,SI,NO
OXYNORM,ORIGINAL,MUNDIPHARMA PHARMACEUTICALS S.L.,ALTA,OXICODONA,8.15,NO,NO
RESINCALCIO,ORIGINAL,RUBIO S.A.,ALTA,POLIESTIRENOSULFONATO,28.96,NO,NO
ELIGARD,ORIGINAL,CASEN RECORDATI S.L..,ALTA,LEUPRORELINA,124.12,NO,NO
CODEROL,ORIGINAL,ALMIRALL S.A.,SUSPENSION TEMPORAL GENERAL,GLUCOSAMINA,6.14,NO,NO
ELIGARD,ORIGINAL,CASEN RECORDATI S.L..,ALTA,LEUPRORELINA,301.03,NO,NO
CARVEDILOL,GENERICO,KRKA D.D. NOVO MESTO,ALTA,CARVEDILOL,6.04,SI,NO
LOETTE,ORIGINAL,PFIZER S.L,ALTA,ETINILESTRADIOLLEVONORGESTREL,2.58,NO,NO
LOETTE,ORIGINAL,PFIZER S.L,ALTA,LEVONORGESTRELETINILESTRADIOL,7.73,NO,NO
DORMICUM,ORIGINAL,RUBIO S.A.,ALTA,MIDAZOLAM,2.65,NO,NO
DOXAZOSINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,DOXAZOSINA,7.27,SI,NO
ENALAPRIL,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,ENALAPRIL,1.61,SI,NO
SINERGINA,ORIGINAL,FAES FARMA S.A.,ALTA,FENITOINA,3.12,SI,NO
REMINYL,ORIGINAL,JANSSEN CILAG S.A.,ALTA,GALANTAMINA,23.12,NO,NO
REMINYL,ORIGINAL,JANSSEN CILAG S.A.,ALTA,GALANTAMINA,46.24,NO,NO
REMINYL,ORIGINAL,JANSSEN CILAG S.A.,ALTA,GALANTAMINA,69.36,NO,NO
HESPERCORBIN,ORIGINAL,ZAMBON S.A.U.,BAJA GENERAL,GLUCOSAMINA,6.14,NO,NO
LIDOCAINA,ORIGINAL,B. BRAUN MEDICAL S.A.,ALTA,LIDOCAINA,1.0,NO,NO
FENTANILO,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,FENTANILO,58.51,NO,NO
GLIMEPIRIDA,GENERICO,BEXAL FARMACEUTICA S.A.,BAJA GENERAL,GLIMEPIRIDA,20.36,NO,NO
BUDESONIDA,ORIGINAL,ORION CORPORATION,ALTA,BUDESONIDA,24.52,SI,NO
BUDESONIDA,ORIGINAL,ORION CORPORATION,ALTA,BUDESONIDA,12.25,SI,NO
CO-VALS,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,ALTA,VALSARTANHIDROCLOROTIAZIDA,11.99,NO,NO
GLIMEPIRIDA,GENERICO,BEXAL FARMACEUTICA S.A.,BAJA GENERAL,GLIMEPIRIDA,10.18,NO,NO
UROLOSIN,ORIGINAL,BOEHRINGER INGELHEIM ESPANA S.A.,ALTA,TAMSULOSINA,10.96,NO,NO
OMNIC,ORIGINAL,ASTELLAS PHARMA S.A,ALTA,TAMSULOSINA,10.96,NO,NO
SERTRALINA,GENERICO,MABO-FARMA S.A.,ALTA,SERTRALINA,11.66,NO,NO
SERTRALINA,GENERICO,MABO-FARMA S.A.,ALTA,SERTRALINA,23.32,NO,NO
SERTRALINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,SERTRALINA,11.66,NO,NO
SERTRALINA,GENERICO,TEVA PHARMA S.L.U,ALTA,SERTRALINA,23.32,NO,NO
SERTRALINA,GENERICO,TEVA PHARMA S.L.U,ALTA,SERTRALINA,11.66,NO,NO
SERTRALINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,SERTRALINA,5.84,NO,NO
VENLAFAXINA,GENERICO,COMBIX S.L.U,BAJA POR NO COMERCIALIZAR,VENLAFAXINA,6.38,NO,NO
VENLAFAXINA,GENERICO,COMBIX S.L.U,BAJA POR NO COMERCIALIZAR,VENLAFAXINA,9.59,NO,NO
VENLAFAXINA,GENERICO,COMBIX S.L.U,ALTA,VENLAFAXINA,19.15,NO,NO
VENLAFAXINA,GENERICO,TEVA PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,VENLAFAXINA,9.59,NO,NO
VENLAFAXINA,GENERICO,TEVA PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,VENLAFAXINA,6.38,NO,NO
VENLAFAXINA,GENERICO,TEVA PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,VENLAFAXINA,19.15,NO,NO
ATORVASTATINA,GENERICO,CINFA S.A.,ALTA,ATORVASTATINA,4.09,NO,NO
ATORVASTATINA,GENERICO,CINFA S.A.,ALTA,ATORVASTATINA,8.18,NO,NO
ATORVASTATINA,GENERICO,CINFA S.A.,ALTA,ATORVASTATINA,16.36,NO,NO
CLIPPER,ORIGINAL,CHIESI ESPANA S.A.U.,ALTA,BECLOMETASONA,83.83,NO,NO
BIDICLIN,ORIGINAL,CHIESI ESPANA S.A.U.,ALTA,BECLOMETASONA,83.83,NO,NO
IRBESARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,ALTA,IRBESARTANHIDROCLOROTIAZIDA,9.65,NO,NO
IRBESARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,ALTA,HIDROCLOROTIAZIDAIRBESARTAN,19.29,NO,NO
REPAGLINIDA,GENERICO,CINFA S.A.,ALTA,REPAGLINIDA,2.79,NO,NO
AZILECT,ORIGINAL,TEVA PHARMA S.L.U,ALTA,RASAGILINA,91.32,NO,NO
REPAGLINIDA,GENERICO,CINFA S.A.,ALTA,REPAGLINIDA,5.59,NO,NO
REPAGLINIDA,GENERICO,CINFA S.A.,ALTA,REPAGLINIDA,11.18,NO,NO
QUINAPRIL,GENERICO,TAMARANG S.A.,BAJA GENERAL,QUINAPRIL,4.65,SI,NO
IBUPROFENO,ORIGINAL,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,IBUPROFENO,1.22,NO,NO
IBUPROFENO,ORIGINAL,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,IBUPROFENO,2.5,NO,NO
IBUPROFENO,ORIGINAL,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,IBUPROFENO,3.75,NO,NO
OMEPRAZOL,ORIGINAL,SANDOZ FARMACEUTICA S.A,ALTA,OMEPRAZOL,2.19,NO,NO
PIREXIN,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,BAJA POR NO COMERCIALIZAR,IBUPROFENO,3.75,NO,NO
QUINAPRIL,GENERICO,TAMARANG S.A.,BAJA GENERAL,QUINAPRIL,2.5,SI,NO
QUINAPRIL,GENERICO,TAMARANG S.A.,BAJA GENERAL,QUINAPRIL,9.3,SI,NO
CITALOPRAM,GENERICO,BEXAL FARMACEUTICA S.A.,ALTA,CITALOPRAM,15.36,NO,NO
KALPRESS,ORIGINAL,LACERS.A.,ALTA,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
AZITROMICINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,AZITROMICINA,5.62,NO,NO
CITALOPRAM,GENERICO,BEXAL FARMACEUTICA S.A.,ALTA,CITALOPRAM,10.24,NO,NO
CEFTRIAXONA,GENERICO,IPS FARMA S.L.,BAJA GENERAL,CEFTRIAXONA,2.5,NO,NO
ELECOR,ORIGINAL,ALMIRALL S.A.,ALTA,EPLERENONA,26.68,NO,NO
OMEPRAZOL,ORIGINAL,SANDOZ FARMACEUTICA S.A,BAJA POR NO COMERCIALIZAR,OMEPRAZOL,2.5,NO,NO
ELECOR,ORIGINAL,ALMIRALL S.A.,ALTA,EPLERENONA,53.34,NO,NO
MITEN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,BAJA GENERAL,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,RISPERIDONA,2.75,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,RISPERIDONA,8.24,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,RISPERIDONA,24.73,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,RISPERIDONA,49.46,NO,NO
DIAFORIN,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,RISPERIDONA,2.5,NO,NO
