ATC,Descripción Principio Activo,Forma Farmacéutica,Nombre Genérico,detalles del producto,Presentación,Tamaño de Caja o presentación,Fabricante,Precio máximo de venta transacción final comercial
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 13560mg/20ml (678mg/1ml),Líquido/Sólido,Inyectable x 25,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 20340mg/30ml (678mg/1ml),Líquido/Sólido,Inyectable x 25,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 33900mg/50ml (678mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 33900mg/50ml (678mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 50850mg/75ml (678mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 67800mg/100ml (678mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 13560mg/20ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 84750mg/125ml (678mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 50850mg/75ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 50850mg/75ml (678mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 33900mg/50ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 20340mg/30ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 33900mg/50ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 67800mg/100ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 135600mg/200ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 33900mg/50ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 55575mg/75ml (741mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 111150mg/150ml (741mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 148200mg/200ml (741mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 370500mg/500ml (741mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 37050mg/50ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 37050mg/50ml (741mg/1ml),Líquido/Sólido,Inyectable x 25,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 37050mg/50ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 37050mg/50ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 55575mg/75ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 74100mg/100ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 92625mg/125ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 55575mg/75ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 74100mg/100ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 111150mg/150ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 148200mg/200ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 370500mg/500ml (741mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 37050mg/50ml (741mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 55575mg/75ml (741mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 74100mg/100ml (741mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 92625mg/125ml (741mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 37050mg/50ml (741mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
L01XE24,Ponatinib,Sólido - Oral,ICLUSIG,Ponatinib 15mg/1U,Sólido,Oral x 30,PINT PHARMA,No regulado
L01XE24,Ponatinib,Sólido - Oral,ICLUSIG,Ponatinib 15mg/1U,Sólido,Oral x 60,PINT PHARMA,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 7,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 30,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 90,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 30,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 7,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 30,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,DUODART,"Tamsulosina 0,4mg/1U + Dutasterida 0,5mg/1U",Sólido,Oral x 90,GLAXOSMITHKLINE,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,TAMSULON DUO,"Dutasterida 0,5mg/1U + Tamsulosina 0,4mg/1U",Sólido,Oral x 30,ASOFARMA,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,TAMSULON DUO,"Dutasterida 0,5mg/1U + Tamsulosina 0,4mg/1U",Sólido,Oral x 60,ASOFARMA,No regulado
G04CA52,Tamsulosina + Dutasterida,Sólido - Oral,TAMSULON DUO,"Dutasterida 0,5mg/1U + Tamsulosina 0,4mg/1U",Sólido,Oral x 90,ASOFARMA,No regulado
B01AC11,Iloprost,Líquido - Inhalatoria,VENTAVIS,"Iloprost 0,02mg/2ml (0,001g/100ml)",Líquido,Inhalatoria x 30,BAYER,No regulado
B01AC11,Iloprost,Líquido - Inhalatoria,VENTAVIS,"Iloprost 0,02mg/2ml (0,001g/100ml)",Líquido,Inhalatoria x 90,BAYER,No regulado
B01AC11,Iloprost,Líquido - Inhalatoria,VENTAVIS,"Iloprost 0,02mg/2ml (0,001g/100ml)",Líquido,Inhalatoria x 30,BAYER,No regulado
B02BD03,Factor VIII Inhibidor Activado Por Bypass,LíqUIdo/Sólido - Inyectable,FEIBA,Factor Viii Inhibidor Activado Por Bypass 1000UI/1U,LíqUIdo/Sólido,Inyectable x 1,BAXALTA,No regulado
B02BD03,Factor VIII Inhibidor Activado Por Bypass,LíqUIdo/Sólido - Inyectable,FEIBA,Factor Viii Inhibidor Activado Por Bypass 1000UI/1U,LíqUIdo/Sólido,Inyectable x 1,BAXALTA,No regulado
B02BD03,Factor VIII Inhibidor Activado Por Bypass,LíqUIdo/Sólido - Inyectable,FEIBA,Factor Viii Inhibidor Activado Por Bypass 500UI/1U,LíqUIdo/Sólido,Inyectable x 1,BAXALTA,No regulado
B02BD03,Factor VIII Inhibidor Activado Por Bypass,LíqUIdo/Sólido - Inyectable,FEIBA,Factor Viii Inhibidor Activado Por Bypass 500UI/1U,LíqUIdo/Sólido,Inyectable x 1,BAXALTA,No regulado
B02BD03,Factor VIII Inhibidor Activado Por Bypass,LíqUIdo/Sólido - Inyectable,FEIBA,Factor Viii Inhibidor Activado Por Bypass 500UI/1U,LíqUIdo/Sólido,Inyectable x 1,BAXALTA,No regulado
B02BD03,Factor VIII Inhibidor Activado Por Bypass,LíqUIdo/Sólido - Inyectable,FEIBA,Factor Viii Inhibidor Activado Por Bypass 500UI/1U,LíqUIdo/Sólido,Inyectable x 1,BAXALTA,No regulado
B02BD05/B02BD08,Coagulacion Factor VII Recombinante,Líquido/Sólido - Inyectable,NOVOSEVEN RT,Factor Viii De Coagulacion RT 100KUI/1U,Líquido/Sólido,Inyectable x 1,NOVO NORDISK,No regulado
B02BD05/B02BD08,Coagulacion Factor VII Recombinante,Líquido/Sólido - Inyectable,NOVOSEVEN RT,Factor Viii De Coagulacion RT 50KUI/1U,Líquido/Sólido,Inyectable x 1,NOVO NORDISK,No regulado
C02KX02,Ambrisentan,Sólido - Oral,VOLIBRIS,Ambrisentan 10mg/1U,Sólido,Oral x 30,GLAXOSMITHKLINE,No regulado
C02KX02,Ambrisentan,Sólido - Oral,VOLIBRIS,Ambrisentan 5mg/1U,Sólido,Oral x 30,GLAXOSMITHKLINE,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 100mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 100mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 100mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 100mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 250mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 250mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 250mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 250mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 20mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 20mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 20mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 20mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 140mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 140mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 140mg/1U,Sólido,Oral x 5,MERCK SHARP DOME,No regulado
L01AX03,Temozolomida,Sólido - Oral,TEMODAL,Temozolomida 140mg/1U,Sólido,Oral x 20,MERCK SHARP DOME,No regulado
L01BC06,Capecitabina,Sólido - Oral,KAXEL,Capecitabina 500mg/1U,Sólido,Oral x 10,MEDISPRAY,No regulado
L01BC06,Capecitabina,Sólido - Oral,KAXEL,Capecitabina 500mg/1U,Sólido,Oral x 30,MEDISPRAY,No regulado
L01BC06,Capecitabina,Sólido - Oral,XELODA,Capecitabina 500mg/1U,Sólido,Oral x 120,ROCHE,No regulado
L01XC06,Cetuximab,Líquido/Sólido - Inyectable,ERBITUX,Cetuximab 250mg/50ml (5mg/1ml),Líquido/Sólido,Inyectable x 1,MERCK,No regulado
L01XC06,Cetuximab,Líquido/Sólido - Inyectable,ERBITUX,Cetuximab 500mg/100ml (5mg/1ml),Líquido/Sólido,Inyectable x 1,MERCK,No regulado
L01XC06,Cetuximab,Líquido/Sólido - Inyectable,ERBITUX,Cetuximab 100mg/20ml (5mg/1ml),Líquido/Sólido,Inyectable x 1,MERCK,No regulado
L01XE05,Sorafenib,Sólido - Oral,NEXAVAR,Sorafenib 200mg/1U,Sólido,Oral x 10,BAYER,No regulado
L01XE05,Sorafenib,Sólido - Oral,NEXAVAR,Sorafenib 200mg/1U,Sólido,Oral x 60,BAYER,No regulado
L01XX32,Bortezomib,Líquido/Sólido - Inyectable,VELCADE,"Bortezomib 3,5mg/1U",Líquido/Sólido,Inyectable x 1,JANSSEN,No regulado
L01XX32,Bortezomib,Líquido/Sólido - Inyectable,BORTEZOMIB,"Bortezomib 3,5mg/1U",Líquido/Sólido,Inyectable x 1,AL PHARMA,No regulado
L01XC07,Bevacizumab,Líquido/Sólido - Inyectable,AVASTIN,Bevacizumab 100mg/4ml (25mg/1ml),Líquido/Sólido,Inyectable x 1,ROCHE,No regulado
L01XC07,Bevacizumab,Líquido/Sólido - Inyectable,AVASTIN,Bevacizumab 400mg/16ml (25mg/1ml),Líquido/Sólido,Inyectable x 1,ROCHE,No regulado
L02AE03,Goserelina,Líquido/Sólido - Inyectable (implante),ZOLADEX,"Gosrelin 10,8mg/1U",Líquido/Sólido,Inyectable (implante) x 1,ASTRAZENECA,No regulado
L02AE03,Goserelina,Líquido/Sólido - Inyectable (implante),ZOLADEX,"Gosrelin 10,8mg/1U",Líquido/Sólido,Inyectable (implante) x 1,ASTRAZENECA,No regulado
L02AE03,Goserelina,Líquido/Sólido - Inyectable (implante),ZOLADEX,"Gosrelin 3,6mg/1U",Líquido/Sólido,Inyectable (implante) x 1,ASTRAZENECA,No regulado
L02AE03,Goserelina,Líquido/Sólido - Inyectable (implante),ZOLADEX,"Gosrelin 3,6mg/1U",Líquido/Sólido,Inyectable (implante) x 1,ASTRAZENECA,No regulado
L03AB08,Interferón Beta 1B,Líquido/Sólido - Inyectable,BETAFERON,"Interferon Beta -1B 0,25mg/1U",Líquido/Sólido,Inyectable x 1,BAYER,No regulado
L03AB08,Interferón Beta 1B,Líquido/Sólido - Inyectable,BETAFERON,"Interferon Beta -1B 0,25mg/1U",Líquido/Sólido,Inyectable x 15,BAYER,No regulado
L04AB02,Infliximab,Líquido/Sólido - Inyectable,REMICADE,Infliximab 100mg/1U,Líquido/Sólido,Inyectable x 1,JANSSEN,No regulado
L04AA23,Natalizumab,Líquido/Sólido - Inyectable,TYSABRI,Natalizumab 300mg/15ml (20mg/1ml),Líquido/Sólido,Inyectable x 1,BIOGEN,No regulado
L04AA25,Eculizumab,Líquido/Sólido - Inyectable,SOLIRIS,Eculizumab 300mg/30ml (10mg/1ml),Líquido/Sólido,Inyectable x 1,ALEXION,No regulado
L04AB04,Adalimumab,Líquido/Sólido - Inyectable,HUMIRA TM,"Adalimumab 40mg/0,8ml (50mg/1ml)",Líquido/Sólido,Inyectable x 2,ABBOTT  / ABBVIE,No regulado
L04AB04,Adalimumab,Líquido/Sólido - Inyectable,HUMIRA TM,"Adalimumab 40mg/0,8ml (50mg/1ml)",Líquido/Sólido,Inyectable x 1,ABBOTT  / ABBVIE,No regulado
L04AB04,Adalimumab,Líquido/Sólido - Inyectable,HUMIRA TM,"Adalimumab 40mg/0,8ml (50mg/1ml)",Líquido/Sólido,Inyectable x 1,ABBOTT  / ABBVIE,No regulado
L04AB04,Adalimumab,Líquido/Sólido - Inyectable,HUMIRA TM,"Adalimumab 40mg/0,8ml (50mg/1ml)",Líquido/Sólido,Inyectable x 2,ABBOTT  / ABBVIE,No regulado
L04AB05,Certolizumab Pegol,Líquido/Sólido - Inyectable,CIMZIA,Certolizumab Pegol 200mg/1ml (200mg/1ml),Líquido/Sólido,Inyectable x 2,UCB,No regulado
L04AB05,Certolizumab Pegol,Líquido/Sólido - Inyectable,CIMZIA,Certolizumab Pegol 200mg/1ml (200mg/1ml),Líquido/Sólido,Inyectable x 6,UCB,No regulado
L04AB05,Certolizumab Pegol,Líquido/Sólido - Inyectable,CIMZIA,Certolizumab Pegol 200mg/1ml (200mg/1ml),Líquido/Sólido,Inyectable x 2,UCB,No regulado
L04AB05,Certolizumab Pegol,Líquido/Sólido - Inyectable,CIMZIA,Certolizumab Pegol 200mg/1ml (200mg/1ml),Líquido/Sólido,Inyectable x 6,UCB,No regulado
L04AC07,Tocilizumab,Líquido/Sólido - Inyectable,ACTEMRA,Tocilizumab 200mg/10ml (20mg/1ml),Líquido/Sólido,Inyectable x 1,ROCHE,No regulado
L04AC07,Tocilizumab,Líquido/Sólido - Inyectable,ACTEMRA,Tocilizumab 200mg/10ml (20mg/1ml),Líquido/Sólido,Inyectable x 4,ROCHE,No regulado
L04AC07,Tocilizumab,Líquido/Sólido - Inyectable,ACTEMRA,Tocilizumab 80mg/4ml (20mg/1ml),Líquido/Sólido,Inyectable x 1,ROCHE,No regulado
L04AC07,Tocilizumab,Líquido/Sólido - Inyectable,ACTEMRA,Tocilizumab 80mg/4ml (20mg/1ml),Líquido/Sólido,Inyectable x 4,ROCHE,No regulado
N03AG04,Vigabatrina,Sólido - Oral,SABRIL,Vigabatrina 500mg/1U,Sólido,Oral x 60,SANOFI AVENTIS,No regulado
N03AG04,Vigabatrina,Sólido - Oral,SABRIL,Vigabatrina 500mg/1U,Sólido,Oral x 20,SANOFI AVENTIS,No regulado
N03AG04,Vigabatrina,Sólido - Oral,SABRIL,Vigabatrina 500mg/1U,Sólido,Oral x 90,SANOFI AVENTIS,No regulado
N06DA04,Galantamina,Sólido - Oral de liberación modificada,REMINYL ER,Galantamina 16mg/1U,Sólido,Oral de liberación modificada x 7,JANSSEN,No regulado
N06DA04,Galantamina,Sólido - Oral de liberación modificada,REMINYL ER,Galantamina 16mg/1U,Sólido,Oral de liberación modificada x 14,JANSSEN,No regulado
N06DA04,Galantamina,Sólido - Oral de liberación modificada,REMINYL ER,Galantamina 16mg/1U,Sólido,Oral de liberación modificada x 28,JANSSEN,No regulado
N06DA04,Galantamina,Sólido - Oral de liberación modificada,REMINYL ER,Galantamina 8mg/1U,Sólido,Oral de liberación modificada x 7,JANSSEN,No regulado
N06DA04,Galantamina,Sólido - Oral de liberación modificada,REMINYL ER,Galantamina 8mg/1U,Sólido,Oral de liberación modificada x 14,JANSSEN,No regulado
N06DA04,Galantamina,Sólido - Oral de liberación modificada,REMINYL ER,Galantamina 8mg/1U,Sólido,Oral de liberación modificada x 28,JANSSEN,No regulado
R03DX05,Omalizumab,Líquido/Sólido - Inyectable,XOLAIR,Omalizumab 150mg/1U,Líquido/Sólido,Inyectable x 1,NOVARTIS,No regulado
H01CB03,Lanreotido,Líquido/Sólido - Inyectable,SOMATULINE,"Lanreotido 90mg/0,5ml (180mg/1ml)",Líquido/Sólido,Inyectable x 1,IPSEN,No regulado
H01CB03,Lanreotido,Líquido/Sólido - Inyectable,SOMATULINE,"Lanreotido 60mg/0,5ml (120mg/1ml)",Líquido/Sólido,Inyectable x 1,IPSEN,No regulado
