Nombre del producto farmacéutico,Tipo de fármaco,Nombre del laboratorio ofertante,Estado,Aportación del beneficiario,Principio activo o asociación de principios activos,Precio venta con IVA_Euros,Nombre de la agrupación homogénea del producto sanitario,Diagnóstico hospitalario,Tratamiento de larga duración,Especial control médico,Medicamento huérfano
"TAMOXIFENO SANDOZ 10 MG COMPRIMIDOS EFG , 100 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,ESPECIAL,TAMOXIFENO CITRATO,8.43,TAMOXIFENO 10 MG 100 COMPRIMIDOS,NO,NO,NO,NO
"TAMOXIFENO SANDOZ 20 MG COMPRIMIDOS EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,ESPECIAL,TAMOXIFENO CITRATO,5.06,TAMOXIFENO 20 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"TAMOXIFENO SANDOZ 20 MG COMPRIMIDOS EFG , 60 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,ESPECIAL,TAMOXIFENO CITRATO,10.12,TAMOXIFENO 20 MG 60 COMPRIMIDOS,NO,NO,NO,NO
"RESINSODIO 99,75G/100G 1 FRASCO 400G POLVO",Medicamento Etica,RUBIO S.A.,ALTA,ESPECIAL,POLIESTIRENOSULFONATO SODIO,29.69,,NO,NO,NO,NO
TRIFLUSAL RATIOPHARM 300MG 30 CAPSULAS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,TRIFLUSAL,5.53,TRIFLUSAL 300 MG 30 CAPSULAS,NO,SI,NO,NO
TRIFLUSAL RATIOPHARM 300MG 50 CAPSULAS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,TRIFLUSAL,9.21,TRIFLUSAL 300 MG 50 CAPSULAS,NO,SI,NO,NO
TORASEMIDA CINFA 5MG 30 COMPRIMIDOS EFG,Medicamento Generico,CINFA S.A.,ALTA,ESPECIAL,TORASEMIDA,2.65,TORASEMIDA 5 MG 30 COMPRIMIDOS,NO,SI,NO,NO
TORASEMIDA CINFA 10MG 30 COMPRIMIDOS,Medicamento Generico,CINFA S.A.,ALTA,ESPECIAL,TORASEMIDA,5.29,TORASEMIDA 10 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"IBUPROFENO ARISTO 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 40 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",ALTA,NORMAL,IBUPROFENO,1.97,IBUPROFENO 600MG 40 COMPRIMIDOS,NO,NO,NO,NO
"IBUPROFENO SANDOZ 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 40 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,IBUPROFENO,1.97,IBUPROFENO 600MG 40 COMPRIMIDOS,NO,NO,NO,NO
"TORASEMIDA SANDOZ 5 MG COMPRIMIDOS EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,TORASEMIDA,2.65,TORASEMIDA 5 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"TORASEMIDA SANDOZ 10 MG COMPRIMIDOS EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,TORASEMIDA,5.29,TORASEMIDA 10 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"LISINOPRIL-HIDROCLOROT TEVA 20MG/12,5MG 28 COM EFG",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"HIDROCLOROTIAZIDA,LISINOPRIL DIHIDRATO",7.37,"LISINOPRIL/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
TORASEMIDA STADA 5MG 30 COMPRIMIDOS EFG,Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,TORASEMIDA,2.65,TORASEMIDA 5 MG 30 COMPRIMIDOS,NO,SI,NO,NO
TORASEMIDA STADA 10MG 30 COMPRIMIDOS EFG,Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,TORASEMIDA,5.29,TORASEMIDA 10 MG 30 COMPRIMIDOS,NO,SI,NO,NO
DOXAZOSINA NEO RATIOPHARM 4MG 28 COM LIBER PRO EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,DOXAZOSINA,7.27,DOXAZOSINA 4 MG 28 COMPRIMIDOS LIBERACION MODIFICADA,NO,SI,NO,NO
"MIRTAZAPINA VIATRIS PHARMACEUTICALS 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 30 comprimidos",Medicamento Generico,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,MIRTAZAPINA,17.05,MIRTAZAPINA 30 MG 30 COMPRIMIDOS,NO,NO,NO,NO
ATACAND 32MG  28 COMPRIMIDOS,Medicamento Etica,RUBIO S.A.,ALTA,ESPECIAL,CANDESARTAN CILEXETILO,20.97,CANDESARTAN 32 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM FARMALIDER 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA, 28 comprimidos",Medicamento Etica,FARMALIDER S.A.,ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,2.56,CITALOPRAM 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"LANSOPRAZOL CINFAMED 15 mg CAPSULAS GASTRORRESISTENTES , 28 capsulas",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,LANSOPRAZOL,7.96,LANSOPRAZOL 15 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"LANSOPRAZOL CINFAMED 30 mg CAPSULAS GASTRORRESISTENTES , 14 capsulas",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,LANSOPRAZOL,7.96,LANSOPRAZOL 30 MG 14 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"LANSOPRAZOL CINFAMED 30 mg CAPSULAS GASTRORRESISTENTES , 28 capsulas",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,LANSOPRAZOL,15.92,LANSOPRAZOL 30 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"INSPRA 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 30 comprimidos",Medicamento Etica,"VIATRIS  HEALTHCARE, S.L.",ALTA,ESPECIAL,EPLERENONA,53.34,EPLERENONA 50 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"INSPRA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 30 comprimidos",Medicamento Etica,"VIATRIS  HEALTHCARE, S.L.",ALTA,ESPECIAL,EPLERENONA,26.68,EPLERENONA 25 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"ARTEOPTIC 2% colirio de liberacion prolongada , frasco cuentagotas de 3 ml",Medicamento Etica,"BAUSCH AND LOMB, S.A",ALTA,NORMAL,CARTEOLOL HIDROCLORURO,2.5,,NO,SI,NO,NO
"HIDRATHEA, 10 ml",Medicamento Etica,THEA S.A.,ALTA,NORMAL,SODIO CLORURO,6.09,,NO,NO,NO,NO
"MIRTAZAPINA SANDOZ FARMACEUTICA 15 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,MIRTAZAPINA,8.52,MIRTAZAPINA 15 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"MIRTAZAPINA SANDOZ FARMACEUTICA 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,ESPECIAL,MIRTAZAPINA,17.05,MIRTAZAPINA 30 MG 30 COMPRIMIDOS,NO,NO,NO,NO
"PUREGON 900UI/1,08ML 1 CARTUCHO SOL INYECTABLE",Medicamento Etica,"ORGANON SALUD, S.L.",ALTA,ESPECIAL,FOLITROPINA BETA,359.05,,SI,NO,NO,NO
"KARVEZIDE 150MG/12,5MG 28 COMP RECUB CON PELIC",Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,NORMAL,"HIDROCLOROTIAZIDA,IRBESARTAN",9.65,"IRBESARTAN/HIDROCLOROTIAZIDA 150MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"KARVEZIDE 300MG/12,5MG 28 COMP CON RECUB CON PELIC",Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,NORMAL,"IRBESARTAN,HIDROCLOROTIAZIDA",19.29,"IRBESARTAN/HIDROCLOROTIAZIDA 300MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
PRAVASTATINA TARBIS 10MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TARBIS FARMA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,PRAVASTATINA SODICA,4.07,PRAVASTATINA 10 MG 28 COMPRIMIDOS,NO,SI,NO,NO
PRAVASTATINA TARBIS 20MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TARBIS FARMA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,PRAVASTATINA SODICA,8.15,PRAVASTATINA 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
RANITIDINA MABO 150MG 28 COMPRIMIDOS RECUB EFG,Medicamento Generico,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,NORMAL,RANITIDINA HIDROCLORURO,3.89,RANITIDINA 150 MG 28 COMPRIMIDOS,NO,NO,NO,NO
ACICLOVIR MABO 200MG 25 COMPRIMIDOS EFG,Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,ACICLOVIR,9.8,ACICLOVIR 200 MG 25 COMPRIMIDOS,NO,NO,NO,NO
ACICLOVIR MABO 800MG 35 COMPRIMIDOS EFG,Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,ACICLOVIR,52.95,ACICLOVIR 800 MG 35 COMPRIMIDOS,NO,NO,NO,NO
"OMEPRAZOL MABO-FARMA 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG , 14 capsulas",Medicamento Generico,"MABO-FARMA, S.A.",BAJA GENERAL,NORMAL,OMEPRAZOL,2.5,OMEPRAZOL 20 MG 14 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
RANITIDINA MABO 300MG 28 COMPRIMIDOS RECUB EFG,Medicamento Generico,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,NORMAL,RANITIDINA HIDROCLORURO,7.77,RANITIDINA 300 MG 28 COMPRIMIDOS,NO,NO,NO,NO
POMADA ANTIBIOTICA LIADE TUBO 30G,Medicamento Etica,"DESMA LABORATORIO FARMACEUTICO, S.L.",ALTA,NORMAL,"NEOMICINA SULFATO,POLIMIXINA B SULFATO,BACITRACINA",3.9,,NO,NO,NO,NO
POMADA ANTIBIOTICA LIADE TUBO 15G,Medicamento Etica,"DESMA LABORATORIO FARMACEUTICO, S.L.",ALTA,NORMAL,"NEOMICINA SULFATO,BACITRACINA,POLIMIXINA B SULFATO",2.5,,NO,NO,NO,NO
"ARTEOPTIC 1% colirio de liberacion prolongada, frasco cuentagotas de 3 ml",Medicamento Etica,"BAUSCH AND LOMB, S.A",ALTA,NORMAL,CARTEOLOL HIDROCLORURO,2.5,,NO,SI,NO,NO
"ENALAPRIL/HIDROCLOR TECNIGEN 20/12,5MG 28 COMP EFG",Medicamento Generico,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,NORMAL,"HIDROCLOROTIAZIDA,ENALAPRIL MALEATO",1.84,"ENALAPRIL/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"CLARITROMICINA SANDOZ 25 mg/ml GRANULADO PARA SUSPENSION ORAL , 1 frasco de 100 ml",Medicamento Etica,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,CLARITROMICINA,4.68,CLARITROMICINA 125MG/5ML 100 ML SOLUCION/SUSPENSION ORAL,NO,NO,NO,NO
LISINOPRIL RATIOPHARM 5MG 60 COMPRIMIDOS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,LISINOPRIL DIHIDRATO,3.4,LISINOPRIL 5 MG 60 COMPRIMIDOS,NO,SI,NO,NO
HALOPERIDOL ESTEVE 2MG/ML 30ML SOL GOTAS,Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,ESPECIAL,HALOPERIDOL,2.5,HALOPERIDOL 2MG/ML 30ML SOLUCION/SUSPENSION GOTAS,NO,NO,NO,NO
CEFIXIMA NORMON 400MG 10 CAPSULAS EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,CEFIXIMA TRIHIDRATO,11.47,CEFIXIMA 400 MG 10 CAPSULAS,NO,NO,NO,NO
"MELOXICAM STADA 7,5MG 20 COMPRIMIDOS EFG",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,MELOXICAM,2.5,"MELOXICAM 7,5 MG 20 COMPRIMIDOS",NO,NO,NO,NO
MELOXICAM STADA 15MG 20 COMPRIMIDOS EFG,Medicamento Generico,"STADA, S.L",ALTA,NORMAL,MELOXICAM,2.54,MELOXICAM 15 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"LISINOPRIL SUN 20 mg COMPRIMIDOS EFG , 28 comprimidos",Medicamento Generico,"SUN PHARMA LABORATORIOS, S.L",ALTA,ESPECIAL,LISINOPRIL DIHIDRATO,6.35,LISINOPRIL 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
PRAVASTATINA TARBIS 40MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TARBIS FARMA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,PRAVASTATINA SODICA,16.3,PRAVASTATINA 40 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"CITALVIR 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 14 comprimidos",Medicamento Etica,"ABABOR PHARMACEUTICALS, S.L.",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,2.5,CITALOPRAM 10 MG 14 COMPRIMIDOS,NO,NO,NO,NO
CITALVIR 10 mg comprimidos recubiertos con pelicula 28 comprimidos recubiertos con pelicula,Medicamento Etica,"ABABOR PHARMACEUTICALS, S.L.",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,2.56,CITALOPRAM 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM BEXAL 30 mg comprimidos recubiertos con pelicula, 28 comprimidos",Medicamento Generico,"BEXAL FARMACEUTICA, S.A.",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,7.68,CITALOPRAM 30 MG 28 COMPRIMIDOS,NO,NO,NO,NO
IMIGRAN NEO 50MG 4 COMPRIMIDOS RECUBIERTOS,Medicamento Etica,"GLAXOSMITHKLINE, S.A.",ALTA,NORMAL,SUMATRIPTAN SUCCINATO,12.18,SUMATRIPTAN 50 MG 4 COMPRIMIDOS,NO,NO,NO,NO
TORASEMIDA TARBIS 5MG 30 COMPRIMIDOS EFG,Medicamento Generico,"TARBIS FARMA, S.L.",ALTA,ESPECIAL,TORASEMIDA,2.65,TORASEMIDA 5 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"MELOXICAM MYLAN 15 mg comprimidos , 20 comprimidos",Medicamento Generico,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,MELOXICAM,2.54,MELOXICAM 15 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"MELOXICAM MYLAN 7.5 mg comprimidos , 20 comprimidos",Medicamento Generico,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,MELOXICAM,2.5,"MELOXICAM 7,5 MG 20 COMPRIMIDOS",NO,NO,NO,NO
TORASEMIDA TARBIS 10MG 30 COMPRIMIDOS EFG,Medicamento Generico,"TARBIS FARMA, S.L.",ALTA,ESPECIAL,TORASEMIDA,5.29,TORASEMIDA 10 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"TOBREXAN 3 mg/ml COLIRIO EN SOLUCION, 1 frasco de 4 ml",Medicamento Etica,NOVARTIS FARMACEUTICA S.A.,ALTA,NORMAL,TOBRAMICINA,2.5,,NO,NO,NO,NO
LANSOPRAZOL NORMON 15MG 28 CAPSULAS GASTRORRES EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,LANSOPRAZOL,7.96,LANSOPRAZOL 15 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"TORASEMIDA COMBIX 10 mg comprimidos, 30 comprimidos",Medicamento Generico,"COMBIX, S.L.U",ALTA,ESPECIAL,TORASEMIDA,5.29,TORASEMIDA 10 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"TORASEMIDA COMBIX 5 mg comprimidos, 30 comprimidos",Medicamento Generico,"COMBIX, S.L.U",ALTA,ESPECIAL,TORASEMIDA,2.65,TORASEMIDA 5 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"ENALAPRIL ALTER 20 mg COMPRIMIDOS EFG , 28 comprimidos",Medicamento Generico,ALTER S.A.,ALTA,ESPECIAL,ENALAPRIL MALEATO,1.61,ENALAPRIL 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"LISINOPRIL/HIDROCLOROTIAZIDA VIATRIS 20/12,5 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,"HIDROCLOROTIAZIDA,LISINOPRIL DIHIDRATO",7.37,"LISINOPRIL/HIDROCLOROTIAZIDA 20MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"BLOPRESS 32 mg comprimidos,  28 comprimidos",Medicamento Etica,RUBIO S.A.,ALTA,ESPECIAL,CANDESARTAN CILEXETILO,20.97,CANDESARTAN 32 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"BOSPORON RAPID 8 mg COMPRIMIDOS RECUBIERTOS CON PELICULA, 30 comprimidos",Medicamento Etica,"TAKEDA FARMACEUTICA ESPAÑA, S.A",BAJA POR NO COMERCIALIZAR,NORMAL,LORNOXICAM,6.78,LORNOXICAM 8MG 30 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
CO-DIOVAN  FORTE 160MG/25MG 28 COMPRIM RECUB PELIC,Medicamento Etica,NOVARTIS FARMACEUTICA S.A.,ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"REGULATEN PLUS 600/12,5MG 28 COMPR RECUBIERT PELIC",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,"EPROSARTAN MESILATO DIHIDRATO,HIDROCLOROTIAZIDA",24.82,"EPROSARTAN/HIDROCLOROTIAZIDA 600MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"OMEPRAZOL SANDOZ FARMACEUTICA 40 MG CAPSULAS DURAS GASTRORRESISTENTES , 28 capsulas (blister)",Medicamento Etica,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,OMEPRAZOL,4.15,OMEPRAZOL 40 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
SUMATRIPTAN SANDOZ 50MG 4 COMPRIMIDOS EFG,Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,SUMATRIPTAN SUCCINATO,12.18,SUMATRIPTAN 50 MG 4 COMPRIMIDOS,NO,NO,NO,NO
"IBUPROFENO VIR 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA  , 40 comprimidos",Medicamento Etica,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,IBUPROFENO,1.97,IBUPROFENO 600MG 40 COMPRIMIDOS,NO,NO,NO,NO
"KEPPRA 100 mg/ml SOLUCION ORAL, 1 frasco de 300 ml con jeringa oral de 10 ml",Medicamento Etica,UCB PHARMA S.A.,ALTA,ESPECIAL,LEVETIRACETAM,56.64,LEVETIRACETAM 100MG/ML 300 ML SOLUCION/SUSPENSION ORAL,NO,NO,NO,NO
TESTIM 50MG GEL 30 TUBOS DE 5 G,Medicamento Etica,FERRING S.A.U,SUSPENSION TEMPORAL GENERAL,ESPECIAL,TESTOSTERONA,52.92,TESTOSTERONA 50MG 30 ENVASES GEL,NO,NO,NO,NO
LISINOPRIL TEVA 20MG 28 COMPRIMIDOS EFG,Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,LISINOPRIL DIHIDRATO,6.35,LISINOPRIL 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"LORATADINA VIR 10 mg COMPRIMIDOS EFG , 20 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,LORATADINA,3.11,LORATADINA 10 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM VIR 20 mg comprimidos recubiertos con pelicula , 14 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,2.56,CITALOPRAM 20 MG 14 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM VIR 20 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,5.12,CITALOPRAM 20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM VIR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 56 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,10.24,CITALOPRAM 20 MG 56 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM RATIO 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 14 comprimidos",Medicamento Etica,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,CITALOPRAM HIDROBROMURO,2.5,CITALOPRAM 10 MG 14 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM RATIO 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 28 comprimidos",Medicamento Etica,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,2.56,CITALOPRAM 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
LANSOPRAZOL NORMON 30MG 14 CAPSULAS GATRORRES EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,LANSOPRAZOL,7.96,LANSOPRAZOL 30 MG 14 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
LANSOPRAZOL NORMON 30MG 28 CAPSULAS GATRORRES EFG,Medicamento Generico,NORMON S.A.,ALTA,NORMAL,LANSOPRAZOL,15.92,LANSOPRAZOL 30 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"NODETRIP 60 MG CAPSULAS DURAS GASTRORRESISTENTES, 28 capsulas",Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",BAJA GENERAL,ESPECIAL,DULOXETINA HIDROCLORURO,26.73,DULOXETINA 60MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"CITALOPRAM TEVA-RIMAFAR 20 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,5.12,CITALOPRAM 20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CITALOPRAM TEVA-RIMAFAR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 56 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,CITALOPRAM HIDROBROMURO,10.24,CITALOPRAM 20 MG 56 COMPRIMIDOS,NO,NO,NO,NO
"NAVIXEN PLUS 600/12,5MG 28 COMPRIMIDOS RECUB PELIC",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,NORMAL,"EPROSARTAN MESILATO DIHIDRATO,HIDROCLOROTIAZIDA",24.82,"EPROSARTAN/HIDROCLOROTIAZIDA 600MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"INEGY 10 mg/20 mg comprimidos, 28 comprimidos",Medicamento Etica,"ORGANON SALUD, S.L.",ALTA,NORMAL,"SIMVASTATINA,EZETIMIBA",32.72,SIMVASTATINA/EZETIMIBA 20MG/10MG 28 COMPRIMIDOS,NO,NO,NO,NO
