SERVICIO,DESCRIPCION,PIEZAS SOLICITADAS
CIRUGIA GENERAL,METRONIDAZOL,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRAMADOL,2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOROLACO,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PARACETAMOL,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,ERTAPENEM,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRAMADOL,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFTAZIDIMA,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,METRONIDAZOL,0
CIRUGIA PLASTICA Y RECONSTRUCTIVA,OMEPRAZOL,2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CAPTOPRIL,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,NIFEDIPINO,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LINEZOLID,2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRAMADOL,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,OMEPRAZOL,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,METRONIDAZOL,3
AREA DE CHOQUE,PARACETAMOL,20
AREA DE CHOQUE,CAPTOPRIL,20
AREA DE CHOQUE,OMEPRAZOL,20
AREA DE CHOQUE,KETOROLACO,20
AREA DE CHOQUE,KETOPROPOFENO,20
AREA DE CHOQUE,BUTILHIOSCINA,20
AREA DE CHOQUE,PARACETAMOL,6
AREA DE CHOQUE,OMEPRAZOL,10
AREA DE CHOQUE,GLUCOSA,15
MEDICINA INTERNA,FOLICO,5
MEDICINA INTERNA,OMEPRAZOL,5
MEDICINA INTERNA,PREDNISONA,4
MEDICINA INTERNA,HEPARINA,5
MEDICINA INTERNA,HEPARINA,4
CIRUGIA GENERAL,KETOROLACO,25
CIRUGIA GENERAL,PARACETAMOL,65
CIRUGIA GENERAL,TRAMADOL,25
CIRUGIA GENERAL,OMEPRAZOL,25
CIRUGIA GENERAL,BUMETANIDA,8
CIRUGIA GENERAL,MULTIVITAMINICO,10
CIRUGIA GENERAL,NIFEDIPINO,10
CIRUGIA GENERAL,CAPTOPRIL,10
CIRUGIA GENERAL,CLONIXINATO,8
CIRUGIA GENERAL,CLONIXINATO,15
CIRUGIA GENERAL,ONDANSETRON,20
CIRUGIA GENERAL,METOCLOPRAMIDA,20
CIRUGIA GENERAL,HIDROCORTISONA,5
CIRUGIA GENERAL,SENOSIDOS,12
CIRUGIA GENERAL,GABAPENTINA,10
URGENCIAS PEDIATRICAS,VECURONIO,2
URGENCIAS,PARACETAMOL,15
URGENCIAS,BUMETANIDA,25
URGENCIAS,GLUCONATO,10
URGENCIAS,LIDOCAINA,1
MEDICINA INTERNA,CAPTOPRIL,4
MEDICINA INTERNA,FLUCONAZOL,5
AREA DE CHOQUE,CEFTRIAXONA,2
AREA DE CHOQUE,CLARITROMICINA,2
CIRUGIA GENERAL,CEFTRIAXONA,2
CIRUGIA GENERAL,CLARITROMICINA,2
URGENCIAS PEDIATRICAS,CEFTRIAXONA,2
URGENCIAS PEDIATRICAS,CLINDAMICINA,8
URGENCIAS PEDIATRICAS,PARACETAMOL,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFTRIAXONA,2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DEXAMETASONA,3
MEDICINA INTERNA,NIFEDIPINO,2
MEDICINA INTERNA,CEFTRIAXONA,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLINDAMICINA,3
MEDICINA INTERNA,CEFTRIAXONA,2
AREA DE CHOQUE,TERLIPRESINA,10
AREA DE CHOQUE,METOCLOPRAMIDA,3
AREA DE CHOQUE,OMEPRAZOL,1
SUBDIRECCION DE ENFERMERIA,CEFALOTINA,1
CIRUGIA GENERAL,CIPROFLOXACINO,2
SUBDIRECCION DE ENFERMERIA,METRONIDAZOL,1
SUBDIRECCION DE ENFERMERIA,CEFTRIAXONA,1
URGENCIAS,CEFALOTINA,1
URGENCIAS,AMIKACINA,2
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,8
URGENCIAS,CEFTRIAXONA,2
URGENCIAS,CLARITROMICINA,4
URGENCIAS,PARACETAMOL,3
URGENCIAS,TERLIPRESINA,8
URGENCIAS,OMEPRAZOL,2
URGENCIAS,METOCLOPRAMIDA,3
URGENCIAS,CEFTRIAXONA,1
URGENCIAS,CEFALOTINA,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LINEZOLID,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOPROPOFENO,3
INFECTOLOGIA,ERTAPENEM,1
PEDIATRIA CLINICA,CEFTRIAXONA,2
PEDIATRIA CLINICA,CLINDAMICINA,4
PEDIATRIA CLINICA,CEFOTAXIMA,3
PEDIATRIA CLINICA,AMIKACINA,2
PEDIATRIA CLINICA,AMPICILINA,2
PEDIATRIA CLINICA,CEFTRIAXONA,4
PEDIATRIA CLINICA,VANCOMICINA,8
PEDIATRIA CLINICA,ACICLOVIR,9
MEDICINA INTERNA,OMEPRAZOL,2
MEDICINA INTERNA,COLCHICINA,2
MEDICINA INTERNA,NISTATINA,1
MEDICINA INTERNA,CEFTAZIDIMA,6
MEDICINA INTERNA,FLUCONAZOL,8
GINECO OBSTETRICIA,CEFTRIAXONA,2
GINECO OBSTETRICIA,METRONIDAZOL,3
MEDICINA INTERNA,GABAPENTINA,1
CIRUGIA GENERAL,PARACETAMOL,3
CIRUGIA GENERAL,KETOROLACO,3
CIRUGIA GENERAL,METOCLOPRAMIDA,3
CIRUGIA GENERAL,CEFTAZIDIMA,6
CIRUGIA GENERAL,ONDANSETRON,3
CIRUGIA GENERAL,OMEPRAZOL,2
MEDICINA INTERNA,CEFTRIAXONA,4
MEDICINA INTERNA,ATORVASTATINA,4
MEDICINA INTERNA,SENOSIDOS,4
MEDICINA INTERNA,FUROSEMIDA,2
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,4
MEDICINA INTERNA,ITRACONAZOL,6
MEDICINA INTERNA,LEVETIRACETAM,4
MEDICINA INTERNA,BUMETANIDA,6
MEDICINA INTERNA,ALOPURINOL,1
MEDICINA INTERNA,NIFEDIPINO,1
MEDICINA INTERNA,SUCRALFATO,3
MEDICINA INTERNA,AMFOTERICINA,2
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,4
MEDICINA INTERNA,FLUCONAZOL,4
MEDICINA INTERNA,FUROSEMIDA,4
MEDICINA INTERNA,METOPROLOL,1
MEDICINA INTERNA,CEFALOTINA,10
GINECO OBSTETRICIA,DOXICICLINA,2
CIRUGIA GENERAL,OMEPRAZOL,1
CIRUGIA GENERAL,TRAMADOL,3
CIRUGIA GENERAL,CAPTOPRIL,3
CIRUGIA GENERAL,GABAPENTINA,6
CIRUGIA GENERAL,CLARITROMICINA,4
CIRUGIA GENERAL,HIDROCORTISONA,4
CIRUGIA GENERAL,SUCRALFATO,3
TERAPIA INTENSIVA,ASCORBICO,6
TERAPIA INTENSIVA,NOREPINEFRINA,8
TERAPIA INTENSIVA,DEXAMETASONA,2
TERAPIA INTENSIVA,CEFEPIME,2
TERAPIA INTENSIVA,METRONIDAZOL,1
TERAPIA INTENSIVA,CEFTAZIDIMA,2
TERAPIA INTENSIVA,VASOPRESINA,6
TERAPIA INTENSIVA,HIDROCORTISONA,2
TERAPIA INTENSIVA,ROCURONIO,4
TERAPIA INTENSIVA,FITOMENADIONA,2
TERAPIA INTENSIVA,CARBAMAZEPINA,4
TERAPIA INTENSIVA,ETAMBUTOL,3
TERAPIA INTENSIVA,ITRACONAZOL,2
INFECTOLOGIA,ERTAPENEM,4
TERAPIA INTENSIVA,DIGOXINA,2
TERAPIA INTENSIVA,TRAMADOL,3
MEDICINA INTERNA,ITRACONAZOL,4
URGENCIAS,PARACETAMOL,20
URGENCIAS,SENOSIDOS,20
URGENCIAS,KETOROLACO,20
URGENCIAS,OMEPRAZOL,20
URGENCIAS,TRAMADOL,20
URGENCIAS,CLONIXINATO,20
URGENCIAS,CLORFENAMINA,20
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,ACETILSALICILICO,6
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,AMIODARONA,8
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,CLORURO,17
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,DEXAMETASONA,6
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,FOSFATO,30
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,GLUCOSA,6
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,HIDROCORTISONA,7
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,OMEPRAZOL,13
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,PROPOFOL,2
URGENCIAS GINECOBSTETRICAS,OXITOCINA,10
URGENCIAS GINECOBSTETRICAS,BETAMETASONA,0
URGENCIAS GINECOBSTETRICAS,CLORURO,4
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,20
PEDIATRIA CLINICA,MULTIVITAMINICO,2
PEDIATRIA CLINICA,OMEPRAZOL,10
PEDIATRIA CLINICA,FUROSEMIDA,10
PEDIATRIA CLINICA,SULFATO,20
PEDIATRIA CLINICA,CLORURO,20
PEDIATRIA CLINICA,GLUCOSA,10
UNIDAD TOCOQUIRURGICA,FITOMENADIONA,20
UNIDAD TOCOQUIRURGICA,KETOROLACO,30
UNIDAD TOCOQUIRURGICA,ONDANSETRON,10
UNIDAD TOCOQUIRURGICA,BUTILHIOSCINA,15
UNIDAD TOCOQUIRURGICA,TRAMADOL,15
UNIDAD TOCOQUIRURGICA,DEXAMETASONA,15
UNIDAD TOCOQUIRURGICA,METOCLOPRAMIDA,30
UNIDAD TOCOQUIRURGICA,MISOPROSTOL,10
UNIDAD TOCOQUIRURGICA,NIFEDIPINO,10
UNIDAD TOCOQUIRURGICA,AMIODARONA,3
UNIDAD TOCOQUIRURGICA,VECURONIO,3
UNIDAD TOCOQUIRURGICA,NITROPRUSIATO,1
UNIDAD TOCOQUIRURGICA,VASOPRESINA,2
TERAPIA INTENSIVA,HALOPERIDOL,6
CIRUGIA PEDIATRICA,CLONAZEPAM,1
URGENCIAS,BUPRENORFINA,6
MEDICINA INTERNA,BICARBONATO,4
MEDICINA INTERNA,PARACETAMOL,0
MEDICINA INTERNA,PARACETAMOL,4
MEDICINA INTERNA,ESMOLOL,0
MEDICINA INTERNA,DOBUTAMINA,1
URGENCIAS,TERLIPRESINA,5
URGENCIAS PEDIATRICAS,CLINDAMICINA,4
URGENCIAS PEDIATRICAS,PARACETAMOL,3
CIRUGIA GENERAL,BUMETANIDA,4
CIRUGIA GENERAL,ASCORBICO,4
CIRUGIA GENERAL,CLONIXINATO,3
NEONATOLOGIA,CLINDAMICINA,3
NEONATOLOGIA,CEFOTAXIMA,3
NEONATOLOGIA,AMIKACINA,2
URGENCIAS,FUROSEMIDA,2
URGENCIAS,CEFTAZIDIMA,3
URGENCIAS,SUCRALFATO,3
URGENCIAS,TRAMADOL,3
URGENCIAS,FUROSEMIDA,3
URGENCIAS,PROPRANOLOL,2
URGENCIAS,HEPARINA,1
NEONATOLOGIA,MEROPENEM,2
NEONATOLOGIA,VANCOMICINA,2
CIRUGIA GENERAL,VANCOMICINA,6
CIRUGIA GENERAL,LEVOTIROXINA,1
CIRUGIA GENERAL,CASPOFUNGINA,1
NEONATOLOGIA,AMFOTERICINA,2
NEONATOLOGIA,CASPOFUNGINA,2
URGENCIAS,ESPIRONOLACTONA,2
URGENCIAS,PROPRANOLOL,1
URGENCIAS,FUROSEMIDA,4
URGENCIAS,CAPTOPRIL,2
URGENCIAS,METRONIDAZOL,3
URGENCIAS,KETOROLACO,3
URGENCIAS,ONDANSETRON,3
URGENCIAS,CAPTOPRIL,1
CIRUGIA GENERAL,AMPICILINA,12
CIRUGIA GENERAL,CAPTOPRIL,2
CIRUGIA GENERAL,FUROSEMIDA,4
CIRUGIA GENERAL,VANCOMICINA,2
URGENCIAS,CEFEPIME,6
URGENCIAS,DOXICICLINA,2
CIRUGIA GENERAL,VANCOMICINA,1
MEDICINA INTERNA,ISONIAZIDA/RIFAMPICINA,4
MEDICINA INTERNA,DEXAMETASONA,3
URGENCIAS,CLARITROMICINA,2
NEONATOLOGIA,DEXAMETASONA,10
NEONATOLOGIA,FUROSEMIDA,10
NEONATOLOGIA,METOCLOPRAMIDA,10
NEONATOLOGIA,OMEPRAZOL,5
URGENCIAS,BUMETANIDA,20
URGENCIAS,FUROSEMIDA,15
URGENCIAS,OMEPRAZOL,10
URGENCIAS,KETOROLACO,12
URGENCIAS,FOSFATO,15
URGENCIAS,INSULINA,2
ANESTESIOLOGIA,ROCURONIO,30
URGENCIAS PEDIATRICAS,CLORURO,10
URGENCIAS PEDIATRICAS,PARACETAMOL,2
URGENCIAS PEDIATRICAS,OMEPRAZOL,5
CIRUGIA GENERAL,DEXAMETASONA,5
CIRUGIA GENERAL,BUTILHIOSCINA,10
CIRUGIA GENERAL,INSULINA,1
MEDICINA INTERNA,RISPERIDONA,2
MEDICINA INTERNA,FUROSEMIDA,5
MEDICINA INTERNA,INSULINA,3
MEDICINA INTERNA,CLORURO,4
MEDICINA INTERNA,INSULINA,5
MEDICINA INTERNA,INSULINA,1
TERAPIA RESPIRATORIA,SALBUTAMOL,10
CIRUGIA GENERAL,NITROPRUSIATO,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PREDNISONA,6
URGENCIAS,HALOPERIDOL,6
MEDICINA INTERNA,CEFALOTINA,4
AREA DE CHOQUE,LEVETIRACETAM,6
AREA DE CHOQUE,FENITOINA,2
AREA DE CHOQUE,CEFTRIAXONA,3
AREA DE CHOQUE,METRONIDAZOL,3
URGENCIAS,CIPROFLOXACINO,0
URGENCIAS,METRONIDAZOL,4
CIRUGIA GENERAL,CEFTAZIDIMA,2
CIRUGIA GENERAL,DOXICICLINA,2
CIRUGIA GENERAL,PREDNISONA,1
MEDICINA INTERNA,OMEPRAZOL,4
MEDICINA INTERNA,BICARBONATO,6
MEDICINA INTERNA,FITOMENADIONA,2
CIRUGIA GENERAL,CLARITROMICINA,1
MEDICINA INTERNA,ISONIACIDA,4
CIRUGIA GENERAL,OMEPRAZOL,5
MEDICINA INTERNA,BUPRENORFINA,6
URGENCIAS,LEVOTIROXINA,2
URGENCIAS,NIFEDIPINO,2
MEDICINA INTERNA,LINEZOLID,3
URGENCIAS,ATORVASTATINA,4
URGENCIAS,OMEPRAZOL,1
TERAPIA INTENSIVA,HIDROCORTISONA,1
TERAPIA INTENSIVA,FUROSEMIDA,3
TERAPIA INTENSIVA,AMIODARONA,4
TERAPIA INTENSIVA,NOREPINEFRINA,16
TERAPIA INTENSIVA,ACETILSALICILICO,1
TERAPIA INTENSIVA,CARBAMAZEPINA,2
GINECO OBSTETRICIA,KETOROLACO,3
GINECO OBSTETRICIA,OMEPRAZOL,1
UROLOGIA,ERTAPENEM,1
UROLOGIA,AMPICILINA,14
UROLOGIA,PARACETAMOL,4
UROLOGIA,CEFTRIAXONA,2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PARACETAMOL,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CAPTOPRIL,2
URGENCIAS,LEVETIRACETAM,6
UNIDAD TOCOQUIRURGICA,CEFALEXINA,4
URGENCIAS,VALPROICO,6
URGENCIAS,ENOXAPARINA,1
URGENCIAS,CAPTOPRIL,4
URGENCIAS,DOBUTAMINA,2
URGENCIAS,CEFTAZIDIMA,2
URGENCIAS,ENOXAPARINA,2
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,AMIODARONA,10
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,MULTIVITAMINICO,12
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,RISPERIDONA,3
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,SULFATO,20
URGENCIAS,CAPTOPRIL,20
URGENCIAS,DILTIAZEM,20
URGENCIAS,NIFEDIPINO,20
URGENCIAS,BUTILHIOSCINA,20
URGENCIAS,KETOPROPOFENO,20
URGENCIAS,FENITOINA,20
ORTOPEDIA,PARACETAMOL,12
GINECO OBSTETRICIA,KETOROLACO,20
GINECO OBSTETRICIA,PARACETAMOL,10
UNIDAD TOCOQUIRURGICA,HIDROCORTISONA,0
UNIDAD TOCOQUIRURGICA,HIDROCORTISONA,1
UNIDAD TOCOQUIRURGICA,METAMIZOL,5
UNIDAD TOCOQUIRURGICA,PROPRANOLOL,5
UNIDAD TOCOQUIRURGICA,FOSFATO,1
URGENCIAS,PROPOFOL,8
URGENCIAS,CAPTOPRIL,10
TERAPIA RESPIRATORIA,BUDESONIDA,200
TERAPIA RESPIRATORIA,SALBUTAMOL/BROMURO,200
MEDICINA INTERNA,PREDNISONA,1
MEDICINA INTERNA,FITOMENADIONA,1
MEDICINA INTERNA,LACTATO,3
MEDICINA INTERNA,ACETILSALICILICO,1
MEDICINA INTERNA,ONDANSENTRON,2
AREA DE CHOQUE,LINEZOLID,2
CIRUGIA GENERAL,METOPROLOL,1
CIRUGIA GENERAL,OCTREOTIDA,1
CIRUGIA GENERAL,BUMETANIDA,2
CIRUGIA GENERAL,NIFEDIPINO,1
CIRUGIA GENERAL,NIFEDIPINO,2
CIRUGIA GENERAL,CLINDAMICINA,4
MEDICINA INTERNA,CARBAMAZEPINA,1
MEDICINA INTERNA,CEFEPIME,6
MEDICINA INTERNA,DOXICICLINA,4
MEDICINA INTERNA,TRIMETOPRIM/SULFAMETOXAZOL,2
URGENCIAS,ISONIACIDA,2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFALOTINA,4
AREA DE CHOQUE,ISONIACIDA,2
CLINICA DEL ADULTO MAYOR,MEROPENEM,3
MEDICINA INTERNA,FLUCONAZOL,12
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRIMETOPRIM/SULFAMETOXAZOL,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DOXICICLINA,4
MEDICINA INTERNA,PARACETAMOL,7
MEDICINA INTERNA,GLUCOSA,10
URGENCIAS,VASOPRESINA,6
CIRUGIA GENERAL,OMEPRAZOL,15
CIRUGIA GENERAL,TRAMADOL,15
CIRUGIA GENERAL,ASCORBICO,10
CIRUGIA GENERAL,SULFATO,30
URGENCIAS PEDIATRICAS,HEPARINA,1
URGENCIAS PEDIATRICAS,INSULINA,1
AREA DE CHOQUE,ROCURONIO,12
AREA DE CHOQUE,INSULINA,2
AREA DE CHOQUE,PROPOFOL,0
AREA DE CHOQUE,VASOPRESINA,4
AREA DE CHOQUE,INSULINA,1
AREA DE CHOQUE,LIDOCAINA,2
AREA DE CHOQUE,GLUCONATO,50
AREA DE CHOQUE,SULFATO,50
AREA DE CHOQUE,NITROPRUSIATO,2
URGENCIAS GINECOBSTETRICAS,FENITOINA,5
URGENCIAS GINECOBSTETRICAS,OMEPRAZOL,10
URGENCIAS GINECOBSTETRICAS,KETOROLACO,10
URGENCIAS GINECOBSTETRICAS,TRAMADOL,5
PEDIATRIA CLINICA,OXIMETAZOLINA,1
MEDICINA INTERNA,NISTATINA,2
MEDICINA INTERNA,DOBUTAMINA,3
MEDICINA INTERNA,AMIKACINA,1
URGENCIAS GINECOBSTETRICAS,CEFALOTINA,2
URGENCIAS PEDIATRICAS,TOBRAMICINA,2
MEDICINA INTERNA,CEFTAZIDIMA,4
TERAPIA INTENSIVA,CEFOTAXIMA,8
UNIDAD TOCOQUIRURGICA,METRONIDAZOL,3
ANESTESIOLOGIA,TRAMADOL,50
ANESTESIOLOGIA,ONDANSETRON,50
MEDICINA INTERNA,BUMETANIDA,4
UNIDAD TOCOQUIRURGICA,OXITOCINA,50
UNIDAD TOCOQUIRURGICA,HEPARINA,1
UNIDAD TOCOQUIRURGICA,INSULINA,1
MEDICINA INTERNA,SERTRALINA,2
URGENCIAS,ATORVASTATINA,2
URGENCIAS,PREGABALINA,0
TERAPIA INTENSIVA,METRONIDAZOL,2
TERAPIA INTENSIVA,LEVETIRACETAM,0
TERAPIA INTENSIVA,DEXAMETASONA,3
MEDICINA INTERNA,SERO,4
MEDICINA INTERNA,LEVOFLOXACINA,1
MEDICINA INTERNA,ETAMBUTOL,3
MEDICINA INTERNA,AMIKACINA,2
URGENCIAS,METILPREDNISOLONA,2
URGENCIAS,CEFALOTINA,2
URGENCIAS,ONDANSENTRON,3
TERAPIA INTENSIVA PEDIATRICA,ACICLOVIR,2
URGENCIAS,ONDANSENTRON,5
URGENCIAS,PARACETAMOL,5
TERAPIA INTENSIVA,CEFTRIAXONA,2
MEDICINA INTERNA,CEFTAROLINA,3
MEDICINA INTERNA,DAPTOMICINA,2
MEDICINA INTERNA,CEFOTAXIMA,2
TERAPIA INTENSIVA,CLARITROMICINA,1
TERAPIA INTENSIVA,VANCOMICINA,1
TERAPIA INTENSIVA,NOREPINEFRINA,5
TERAPIA INTENSIVA,AMFOTERICINA,2
TERAPIA INTENSIVA,FLUCONAZOL,12
TERAPIA INTENSIVA,VALPROICO,6
TERAPIA INTENSIVA,LEVETIRACETAM,8
TERAPIA INTENSIVA,VASOPRESINA,5
TERAPIA INTENSIVA,ROCURONIO,5
TERAPIA INTENSIVA,CLARITROMICINA,2
URGENCIAS,TERLIPRESINA,11
GINECO OBSTETRICIA,TRAMADOL,3
GINECO OBSTETRICIA,PARACETAMOL,6
CIRUGIA PLASTICA Y RECONSTRUCTIVA,ONDANSENTRON,3
UROLOGIA,PARACETAMOL,3
UROLOGIA,KETOROLACO,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PREDNISONA,2
MEDICINA INTERNA,NIFEDIPINO,4
MEDICINA INTERNA,PARACETAMOL,3
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,8
MEDICINA INTERNA,FOLICO,1
MEDICINA INTERNA,ONDANSENTRON,3
MEDICINA INTERNA,VALPROICO,3
MEDICINA INTERNA,TRAMADOL,2
MEDICINA INTERNA,CARBAMAZEPINA,2
MEDICINA INTERNA,CLARITROMICINA,3
URGENCIAS,ONDANSENTRON,20
URGENCIAS,MULTIVITAMINICO,3
URGENCIAS,ATORVASTATINA,16
