DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
BICALUTAMIDA,CASODEX,SOLIDO,ASTRAZENECA,NO REGULADO
BICALUTAMIDA,LUTAMIDAL,SOLIDO,MONTE VERDE,NO REGULADO
CASPOFUNGINA,CANCIDAS,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
CICLOSPORINA,SANDIMMUN,SOLIDO,NOVARTIS,NO REGULADO
CICLOSPORINA,SANDIMMUN NEORAL,SOLIDO,NOVARTIS,NO REGULADO
DABIGATRAN,PRADAXA,SOLIDO,BOEHRINGER,NO REGULADO
DORNASE,PULMOZYME,LIQUIDO,ROCHE,NO REGULADO
ESOMEPRAZOL,NEXIUM,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
ESOMEPRAZOL,ESOMEPRAZOL,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
EXEMESTANO,AROMASIN,SOLIDO,PFIZER,NO REGULADO
EXEMESTANO,HB ONCOFEME,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
EXEMESTANO,EXEMESTIN,SOLIDO,SANDOZ,NO REGULADO
FULVESTRANT,FASLODEX,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
INSULINA,NOVORAPID,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
INSULINA,LEVEMIR,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
INSULINA,LANTUS,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
INSULINA,APIDRA,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
INSULINA,HUMALOG,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
LEFLUNOMIDA,INFLAXEN,SOLIDO,PROCAPS,NO REGULADO
LEFLUNOMIDA,ARAVA,SOLIDO,SANOFI AVENTIS,NO REGULADO
LEUPRORELINA,ELIGARD,LIQUIDO/SOLIDO,TOLMAR,NO REGULADO
LEVETIRACETAM,KEPPRA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LINEZOLID,ZYVOXID,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MEROPENEM,MEROBAC,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
MEROPENEM,MERONEM,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
METILPREDNISOLONA,DEPO-MEDROL,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MICOFENOLICO,MYFORTIC,SOLIDO,NOVARTIS,NO REGULADO
MICOFENOLICO,CELLCEPT,SOLIDO,ROCHE,NO REGULADO
OCTREOTIDO,SANDOSTATIN,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
PRAMIPEXOLA,MIRAPEX,SOLIDO,BOEHRINGER,NO REGULADO
PREGABALINA,LYRICA,SOLIDO,PFIZER,NO REGULADO
QUETIAPINA,SEROQUEL,SOLIDO,ASTRAZENECA,NO REGULADO
QUETIAPINA,KETIAN,SOLIDO,PROCAPS,NO REGULADO
QUETIAPINA,DRUGTECH,SOLIDO,SYNTHESIS,NO REGULADO
QUETIAPINA,QUETIAPINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
RIVASTIGMINA,EXELON,SOLIDO,NOVARTIS,NO REGULADO
TIROFIBAN,AGRASTAT,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
TIROTROPINA,THYROGEN,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
TRABECTEDIN,YONDELIS,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
USTEKINUMAB,STELARA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
DULAGLUTIDA,TRULICITY,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
DARBEPOETINA,ARANESP,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
RIOCIGUAT,ADEMPAS,SOLIDO,BAYER,NO REGULADO
CINACALCET,MIMPARA,SOLIDO,AMGEN,NO REGULADO
BRENTUXIMAB,ADCETRIS,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
AFATINIB,GIOTRIF,SOLIDO,BOEHRINGER,NO REGULADO
VEMURAFENIB,ZELBORAF,SOLIDO,ROCHE,NO REGULADO
AXITINIB,INLYTA,SOLIDO,PFIZER,NO REGULADO
RUXOLITINIB,JAKAVI,SOLIDO,NOVARTIS,NO REGULADO
DEGARELIX,FIRMAGON,LIQUIDO/SOLIDO,FERRING,NO REGULADO
PLERIXAFOR,MOZOBIL,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
TERIFLUNOMIDA,AUBAGIO,SOLIDO,GENZYME,NO REGULADO
VEDOLIZUMAB,ENTYVIO,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
FAMPRIDINA,FAMPYRA,SOLIDO,BIOGEN,NO REGULADO
RASBURICASA,FASTURTEC,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
TAPENTADOL,PALEXIS,SOLIDO,GRUNENTHAL,NO REGULADO
DAPAGLIFLOZINA,FORXIGA,SOLIDO,ASTRAZENECA,NO REGULADO
MACITENTAN,OPSUMIT,SOLIDO,ACTELION,NO REGULADO
VORTIOXETINA,BRINTELLIX,SOLIDO,LUNDBECK,NO REGULADO
EMPAGLIFLOZINA,JARDIANCE,SOLIDO,BOEHRINGER,NO REGULADO
BETAINA,CYSTADANE,SOLIDO,ORPHAN EUROPE,NO REGULADO
AFLIBERCEPT,EYLIA,LIQUIDO/SOLIDO,BAYER,NO REGULADO
ALEMTUZUMAB,LEMTRADA,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
AZACITIDINA,VIDAZA,LIQUIDO/SOLIDO,CELGENE,NO REGULADO
AZACITIDINA,MIELOZITIDINA,LIQUIDO/SOLIDO,LKM,NO REGULADO
AZACITIDINA,WINDUZA,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
CABAZITAXEL,JEVTANA,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
DARIFENACINA,ENABLEX,SOLIDO,ASPEN,NO REGULADO
ELTROMBOPAG,REVOLADE,SOLIDO,NOVARTIS,NO REGULADO
IPILIMUMAB,YERVOY,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
IRINOTECAN,CAMPTOSAR,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MESALAZINA,SALOFALK,LIQUIDO,DR FALK PHARMA,NO REGULADO
MESALAZINA,SALOFALK,SOLIDO,DR FALK PHARMA,NO REGULADO
MESALAZINA,PENTASA,SOLIDO,FERRING,NO REGULADO
MESALAZINA,MESAX,SOLIDO,LABINCO,NO REGULADO
METOXIPOLIETILENGLICOL,MIRCERA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
MIGLUSTATO,ZAVESCA,SOLIDO,ACTELION,NO REGULADO
RASAGILINA,RAGITAR,SOLIDO,ALKEM,NO REGULADO
NIVOLUMAB,OPDIVO,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
PANITUMUMAB,VECTIBIX,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
LAMOTRIGINA,LAMICTAL,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CLOPIDOGREL,PLAVIX,SOLIDO,SANOFI AVENTIS,NO REGULADO
SIROLIMUS,RAPAMUNE,SOLIDO,PFIZER,NO REGULADO
TOPIRAMATO,TOPAMAC,SOLIDO,JANSSEN,NO REGULADO
CILOSTAZOL,CILOSTAL,SOLIDO,MERCK,NO REGULADO
TRIMETAZIDINA,VASTAREL MR,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
IVABRADINE,PROCORALAN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
CANDESARTAN,ATACAND,SOLIDO,ASTRAZENECA,NO REGULADO
CANDESARTAN,CANDEPREX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CANDESARTAN,MINART,SOLIDO,MERCK,NO REGULADO
TRETINOIN,VESANOID,SOLIDO,CHEPLAPHARM,NO REGULADO
CIPROFIBRATO,HIPERLIPEN,SOLIDO,SANOFI AVENTIS,NO REGULADO
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,LA SANTE,NO REGULADO
CIPROFIBRATO,GIABRI,SOLIDO,MERCK,NO REGULADO
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,GENFAR,NO REGULADO
CABERGOLINA,ALACTIN,SOLIDO,PROCAPS,NO REGULADO
CABERGOLINA,CABERTRIX,SOLIDO,MONTE VERDE,NO REGULADO
CABERGOLINA,DOSTINEX,SOLIDO,PFIZER,NO REGULADO
ALFUZOSINA,XATRAL OD,SOLIDO,SANOFI AVENTIS,NO REGULADO
DUTASTERIDA,AVODART,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
PARICALCITOL,ZEMPLAR,SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
LETROZOL,FEMARA,SOLIDO,NOVARTIS,NO REGULADO
GABAPENTIN,NEURONTIN,SOLIDO,PFIZER,NO REGULADO
GABAPENTIN,KAPTIN,SOLIDO,LEGRAND,NO REGULADO
GABAPENTIN,GABAPENTINA SANDOZ,SOLIDO,SANDOZ,NO REGULADO
GABAPENTIN,GABAPENTINA,SOLIDO,WINTHROP,NO REGULADO
GABAPENTIN,GABAPENTINA,SOLIDO,SANOFI AVENTIS,NO REGULADO
TREPROSTINILO,REMODULIN,LIQUIDO/SOLIDO,FERRER,NO REGULADO
BUPROPION,ODRANAL,SOLIDO,MONTE VERDE,NO REGULADO
BUPROPION,WELLBUTRIN XL,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
DULOXETINA,CYMBALTA,SOLIDO,ELI LILLY,NO REGULADO
DULOXETINA,INMOX,SOLIDO,TECNOQUIMICAS,NO REGULADO
DULOXETINA,DULOXETINA,SOLIDO,MK,NO REGULADO
DONEPEZIL,ALZIT,SOLIDO,PROCAPS,NO REGULADO
CARVEDILOL,DILATREND,SOLIDO,CHEPLAPHARM,NO REGULADO
CARVEDILOL,DILATREND,SOLIDO,ROCHE,NO REGULADO
CARVEDILOL,DILATREND,SOLIDO,CHEPLAFARM,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,TECNOQUIMICAS,NO REGULADO
IRBESARTAN,APROVEL,SOLIDO,SANOFI AVENTIS,NO REGULADO
TOLTERODINA,DETRUSITOL,SOLIDO,PFIZER,NO REGULADO
ITRACONAZOL,ENITRAX,SOLIDO,PROCAPS,NO REGULADO
ITRACONAZOL,SPORANOX,SOLIDO,JANSSEN,NO REGULADO
ANASTROZOL,ARIMIDEX,SOLIDO,ASTRAZENECA,NO REGULADO
NARATRIPTAN,NARAMIG,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
DESVENLAFAXINA,PRISTIQ,SOLIDO,PFIZER,NO REGULADO
DESVENLAFAXINA,STYMA,SOLIDO,TECNOQUIMICAS,NO REGULADO
ATOMOXETINA,STRATTERA,SOLIDO,ELI LILLY,NO REGULADO
ATOMOXETINA,ATTENTHO,SOLIDO,SYNTHESIS,NO REGULADO
RILUZOL,RILUTEK,SOLIDO,SANOFI AVENTIS,NO REGULADO
TICAGRELOR,BRILINTA,SOLIDO,ASTRAZENECA,NO REGULADO
ITRACONAZOL,SPORANOX,LIQUIDO,JANSSEN,NO REGULADO
CARBAMAZEPINA,TEGRETOL,SOLIDO,NOVARTIS,NO REGULADO
CARBAMAZEPINA,CARBAMAZEPINA,LIQUIDO,TECNOFAR,NO REGULADO
LEVETIRACETAM,KEPPRA,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
RISPERIDONA,TRACTAL,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
RISPERIDONA,RISPERDAL,LIQUIDO,JANSSEN,NO REGULADO
BRIMONIDINA,AGGLAD OFTENO,LIQUIDO,SOPHIA,NO REGULADO
BRIMONIDINA,ALPHAGAN,LIQUIDO,ALLERGAN,NO REGULADO
BRIMONIDINA,BRIMOFTAL P,LIQUIDO,TECNOQUIMICAS,NO REGULADO
BRIMONIDINA,BRIMOFTAL,LIQUIDO,TECNOQUIMICAS,NO REGULADO
LATANOPROST,LOUTEN,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
LATANOPROST,LATANOX,LIQUIDO,PROCAPS,NO REGULADO
LATANOPROST,GAAP OFTENO,LIQUIDO,SOPHIA,NO REGULADO
LATANOPROST,XALATAN,LIQUIDO,PFIZER,NO REGULADO
BIMATOPROST,LUMIGAN,LIQUIDO,ALLERGAN,NO REGULADO
BIMATOPROST,LUMIGAN RC,LIQUIDO,ALLERGAN,NO REGULADO
BIMATOPROST,LUMIGAN UD,LIQUIDO,ALLERGAN,NO REGULADO
TRAVOPROST,GLAUCOPROST,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
MEMANTINA,MEMANTINA,SOLIDO,MK,NO REGULADO
MEMANTINA,EBIXA,SOLIDO,LUNDBECK,NO REGULADO
MEMANTINA,AKATINOL,SOLIDO,MERZ PHARMACEUTICALS,NO REGULADO
RISPERIDONA,RISPERIDONA,SOLIDO,TECNOQUIMICAS,NO REGULADO
RISPERIDONA,RISPERDAL,SOLIDO,JANSSEN,NO REGULADO
TENECTEPLASA,METALYSE,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
FONDAPARINUX,ARIXTRA,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
ALPROSTADIL,CAVERJECT,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MOXIFLOXACINA,AVELOX,LIQUIDO/SOLIDO,BAYER,NO REGULADO
MOXIFLOXACINA,FLOXANAR,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
PRASUGREL,EFFIENT,SOLIDO,DAIICHI SANKYO,NO REGULADO
VALPROICO,VALCOTE,SOLIDO,LAFRANCOL,NO REGULADO
NOMEGESTROL,ZOELY,SOLIDO,MERCK SHARP DOME,NO REGULADO
NOMEGESTROL,NOVAL,SOLIDO,SYNTHESIS,NO REGULADO
LIDOCAINA,VERSATIS,SOLIDO,GRUNENTHAL,NO REGULADO
BUPRENORFINA,TRANSTEC,SOLIDO,GRUNENTHAL,NO REGULADO
BUPRENORFINA,NORSPAN,SOLIDO,GRUNENTHAL,NO REGULADO
FENTANILO,DURFENTA,SOLIDO,PINT PHARMA,NO REGULADO
FENTANILO,DUROGESIC,SOLIDO,JANSSEN,NO REGULADO
TOBRAMICINA,BRAMITOB,LIQUIDO,CHIESI,NO REGULADO
TOBRAMICINA,TOBI,LIQUIDO,NOVARTIS,NO REGULADO
DESMOPRESINA,MINIRIN,LIQUIDO,FERRING,NO REGULADO
DESMOPRESINA,GENOPRESIN,LIQUIDO,LAFRANCOL,NO REGULADO
DESMOPRESINA,MINIRIN MELT,SOLIDO,FERRING,NO REGULADO
DESMOPRESINA,GENOPRESIN,SOLIDO,LAFRANCOL,NO REGULADO
DESMOPRESINA,OCTOSTIM,LIQUIDO/SOLIDO,FERRING,NO REGULADO
DESMOPRESINA,DESMOPRESIN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
DESMOPRESINA,HEMOSPEP,LIQUIDO/SOLIDO,ORPHANPHARMA,NO REGULADO
OXCARBAZEPINA,TRILEPTAL,LIQUIDO,NOVARTIS,NO REGULADO
OXCARBAZEPINA,TRILEPTAL,SOLIDO,NOVARTIS,NO REGULADO
OXCARBAZEPINA,OXCARBAZEPINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
DOMPERIDONA,HARMETONE,SOLIDO,JANSSEN,NO REGULADO
DOMPERIDONA,MOPERID,SOLIDO,SIEGFRIED,NO REGULADO
DOMPERIDONA,DOMPERIDONA,SOLIDO,GENFAR,NO REGULADO
IBANDRONICO,BONDRONAT,LIQUIDO/SOLIDO,ATNAHS,NO REGULADO
IBANDRONICO,BONVIVA,LIQUIDO/SOLIDO,ATNAHS,NO REGULADO
IBANDRONICO,OSEBAN,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
ERTAPENEM,ERTAPENEM,LIQUIDO/SOLIDO,NORSTRAY NUART,NO REGULADO
TRIPTORELIN,GONAPEPTYL,LIQUIDO,FERRING,NO REGULADO
LOMITAPIDA,JUXTAPID,SOLIDO,VALENTECH,NO REGULADO
LAPATINIB,TYKERB,SOLIDO,NOVARTIS,NO REGULADO
LACOSAMIDA,VIMPAT,SOLIDO,UCB,NO REGULADO
LACOSAMIDA,COSAMIDE,SOLIDO,XINETIX PHARMA,NO REGULADO
METOPROLOL,BETALOC ZOK,SOLIDO,ASTRAZENECA,NO REGULADO
TRASTUZUMAB,KADCYLA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
ROTIGOTINA,NEUPRO,SOLIDO,UCB,NO REGULADO
TELMISARTAN,MICARDIS,SOLIDO,BOEHRINGER,NO REGULADO
TELMISARTAN,XIFEN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TELMISARTAN,TELMISARTAN,SOLIDO,LA SANTE,NO REGULADO
OLMESARTAN,OLMETEC,SOLIDO,PFIZER,NO REGULADO
OLMESARTAN,ILTUX,SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
OLMESARTAN,OLMESARTAN MEDOXOMIL,SOLIDO,TECNOQUIMICAS,NO REGULADO
OLMESARTAN,OLMESARTAN,SOLIDO,TECNOQUIMICAS,NO REGULADO
LEVONORGESTREL,NORVETAL,SOLIDO,SYNTHESIS,NO REGULADO
LEVONORGESTREL,MICROGYNON,SOLIDO,TECNOFARMA,NO REGULADO
LEVONORGESTREL,MINIPIL,SOLIDO,LAFRANCOL,NO REGULADO
LEVONORGESTREL,SEGUBELL,SOLIDO,LAFRANCOL,NO REGULADO
LEVONORGESTREL,ACTIVA 21 SUAVE,SOLIDO,BCN MEDICAL,NO REGULADO
LEVONORGESTREL,NEOGYNON,SOLIDO,BAYER,NO REGULADO
EZETIMIBE,ZETIA,SOLIDO,MERCK SHARP DOME,NO REGULADO
DROSPIRENONA,YASMIN,SOLIDO,BAYER,NO REGULADO
DROSPIRENONA,FEMELLE,SOLIDO,SYNTHESIS,NO REGULADO
DROSPIRENONA,YAX,SOLIDO,LAFRANCOL,NO REGULADO
DROSPIRENONA,FEMELLE 20,SOLIDO,SYNTHESIS,NO REGULADO
DROSPIRENONA,YASMINIQ,SOLIDO,BAYER,NO REGULADO
DROSPIRENONA,YAXIBELLE,SOLIDO,LAFRANCOL,NO REGULADO
DIENOGEST,BELLAFACE,SOLIDO,LAFRANCOL,NO REGULADO
DIENOGEST,ACOTOL,SOLIDO,SYNTHESIS,NO REGULADO
DIENOGEST,BELLAFACE SUAVE,SOLIDO,LAFRANCOL,NO REGULADO
DEXRAZOXANA,CARDIOXANE,LIQUIDO/SOLIDO,CLINIGEN HELTHCARE,NO REGULADO
BISOPROLOL,CONCOR,SOLIDO,MERCK,NO REGULADO
ANTICONCEPTIVO,POSTDAY,SOLIDO,LAFRANCOL,NO REGULADO
ANTICONCEPTIVO,POSTDAYPLUS,SOLIDO,HRA PHARMA,NO REGULADO
ANTICONCEPTIVO,EVINET,SOLIDO,PROCAPS,NO REGULADO
DROSPIRENONA,ANGELIQ,SOLIDO,BAYER,NO REGULADO
DROSPIRENONA,CLINOMAT,SOLIDO,SYNTHESIS,NO REGULADO
GANCICLOVIR,CYMEVENE,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
ALIROCUMAB,PRALUENT,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
BASILIXIMAB,SIMULECT,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
BLINATUMOMAB,BLINCYTO,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
BOSUTINIB,XOLYXA,SOLIDO,LAFRANCOL,NO REGULADO
BROMURO,SEEBRI BREEZHALER,SOLIDO,NOVARTIS,NO REGULADO
BUDESONIDA,BUDENOFALK,SOLIDO,DR FALK PHARMA,NO REGULADO
BUDESONIDA,CORTIMENT MMX,SOLIDO,FERRING,NO REGULADO
BUDESONIDA,BUDEMAR DUO,LIQUIDO,BIOTOSCANA,NO REGULADO
BUDESONIDA,SYMBICORT RAPIHALER,LIQUIDO,ASTRAZENECA,NO REGULADO
BUDESONIDA,SYMBICORT TURBUHALER,SOLIDO,ASTRAZENECA,NO REGULADO
BUDESONIDA,AEROVIAL,SOLIDO,NOVAMED,NO REGULADO
CARBETOCINA,DURATOCIN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
CEFUROXIME,ZINACEF,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CELECOXIB,CELEBREX,SOLIDO,PFIZER,NO REGULADO
CIPROTERONA,ANDROCUR,SOLIDO,BAYER,NO REGULADO
CIPROTERONA,FACETIX,SOLIDO,SYNTHESIS,NO REGULADO
CIPROTERONA,DIANE 35,SOLIDO,BAYER,NO REGULADO
CIPROTERONA,FACETIX SUAVE,SOLIDO,LAFRANCOL,NO REGULADO
CIPROTERONA,FACETIX MINI,SOLIDO,LAFRANCOL,NO REGULADO
CISATRACURIO,NIMBIUM,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
CITARABINA,CITARABINA,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
CITARABINA,CITARABINA,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
CLORMADINONA,BELARA,SOLIDO,GRUNENTHAL,NO REGULADO
CLORMADINONA,BELARINA,SOLIDO,GRUNENTHAL,NO REGULADO
CLORMADINONA,GYNORELLE,SOLIDO,SYNTHESIS,NO REGULADO
CLORMADINONA,ADELLA,SOLIDO,PROCAPS,NO REGULADO
CLORMADINONA,ADELLA MINI,SOLIDO,PROCAPS,NO REGULADO
DABRAFENIB,TAFINLAR,SOLIDO,NOVARTIS,NO REGULADO
DABRAFENIB,TAFINLAR50,SOLIDO,NOVARTIS,NO REGULADO
DALTEPARINA,FRAGMIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DESOGESTREL,CERAZETTE,SOLIDO,ORGANON,NO REGULADO
DESOGESTREL,MERCILON,SOLIDO,ORGANON,NO REGULADO
DIDROGESTERONA,DUPHASTON,SOLIDO,LAFRANCOL,NO REGULADO
DIDROGESTERONA,FEMOSTON CONTI,SOLIDO,LAFRANCOL,NO REGULADO
DIMETILFUMARATO,YARDIX,SOLIDO,SYNTHESIS,NO REGULADO
ELOSULFASA,VIMIZIM,LIQUIDO/SOLIDO,BIOMARIN,NO REGULADO
ESTRADIOL,ESTROGEL,SEMISOLIDO,BESINS MANUFACTURING,NO REGULADO
ESTRADIOL,GINODERM,SEMISOLIDO,SYNTHESIS,NO REGULADO
ESTRIOL,FEMTRIOL,SEMISOLIDO,CHALVER,NO REGULADO
ESTRIOL,OVESTIN,SEMISOLIDO,ASPEN,NO REGULADO
ESTROGENOS,ESTERMAX,SEMISOLIDO,CHALVER,NO REGULADO
ESTROGENOS,FEVENY,SEMISOLIDO,BCN MEDICAL,NO REGULADO
ESTROGENOS,PREMARINCREMA,SEMISOLIDO,PFIZER,NO REGULADO
ESTROGENOS,ESTERMAX,SOLIDO,CHALVER,NO REGULADO
ESTROGENOS,PREMARIN,SOLIDO,PFIZER,NO REGULADO
